Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,mrna_extraction,Organism,Platform,ReleaseDate,reporter,Sample Name,source_name,SRA Study,strain
SRR1981429,RNA-Seq,50,881252700,PRJNA281635,SAMN03492291,635290219,CD8+ T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1000332,GSM1661817,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Single-cell,Mus musculus,ILLUMINA,2016-03-07T00:00:00Z,Blimp1/GFP,GSM1661817,Wildtype (WT) Bone marrow,SRP057459,C57BL/6
SRR1981430,RNA-Seq,50,1428853150,PRJNA281635,SAMN03492292,1018290288,CD8+ T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1000333,GSM1661818,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Single-cell,Mus musculus,ILLUMINA,2016-03-07T00:00:00Z,Blimp1/GFP,GSM1661818,Wildtype (WT) Bone marrow,SRP057459,C57BL/6
SRR1981431,RNA-Seq,50,1588356650,PRJNA281635,SAMN03492293,1167048757,CD8+ T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1000334,GSM1661819,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Single-cell,Mus musculus,ILLUMINA,2016-03-07T00:00:00Z,Blimp1/GFP,GSM1661819,Wildtype (WT) Bone marrow,SRP057459,C57BL/6
SRR1981432,RNA-Seq,50,1176483500,PRJNA281635,SAMN03492294,863678716,CD8+ T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1000335,GSM1661820,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Single-cell,Mus musculus,ILLUMINA,2016-03-07T00:00:00Z,Blimp1/GFP,GSM1661820,Wildtype (WT) Bone marrow,SRP057459,C57BL/6
SRR1981433,RNA-Seq,50,1763533800,PRJNA281635,SAMN03492295,1289653313,CD8+ T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1000336,GSM1661821,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Single-cell,Mus musculus,ILLUMINA,2016-03-07T00:00:00Z,Blimp1/GFP,GSM1661821,Wildtype (WT) Bone marrow,SRP057459,C57BL/6
SRR1981434,RNA-Seq,36,1184798232,PRJNA281635,SAMN03492296,691927643,CD8+ T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1000337,GSM1661822,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Single-cell,Mus musculus,ILLUMINA,2016-03-07T00:00:00Z,Blimp1/GFP,GSM1661822,Wildtype (WT) Bone marrow,SRP057459,C57BL/6
SRR1981435,RNA-Seq,36,1318032144,PRJNA281635,SAMN03492297,811345716,CD8+ T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1000338,GSM1661823,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Single-cell,Mus musculus,ILLUMINA,2016-03-07T00:00:00Z,Blimp1/GFP,GSM1661823,Wildtype (WT) Bone marrow,SRP057459,C57BL/6
SRR1981436,RNA-Seq,36,1236276288,PRJNA281635,SAMN03492298,749274224,CD8+ T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1000339,GSM1661824,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Single-cell,Mus musculus,ILLUMINA,2016-03-07T00:00:00Z,Blimp1/GFP,GSM1661824,Wildtype (WT) Bone marrow,SRP057459,C57BL/6
SRR1981437,RNA-Seq,50,1423501250,PRJNA281635,SAMN03492299,1015749187,CD8+ T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1000340,GSM1661825,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Single-cell,Mus musculus,ILLUMINA,2016-03-07T00:00:00Z,Blimp1/GFP,GSM1661825,Blimp1LckCre (Blimp1KO) Bone marrow,SRP057459,C57BL/6
SRR1981438,RNA-Seq,36,1075972824,PRJNA281635,SAMN03492300,616514376,CD8+ T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1000341,GSM1661826,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Single-cell,Mus musculus,ILLUMINA,2016-03-07T00:00:00Z,Blimp1/GFP,GSM1661826,Blimp1LckCre (Blimp1KO) Bone marrow,SRP057459,C57BL/6
