Gene Symbol,Chronic Module,Escape Module,Resolver Module,Intramodular Connectivity – Chronic,Intramodular Connectivity – Escape,Intramodular Connectivity – Resolver
AAGAB,c7,e1,r9,0.147,0.379,0.312
AAMDC,c10,e9,r9,0.550,0.345,0.212
AAMP,c1,e9,r6,0.238,0.466,0.319
AAR2,c5,e9,r9,0.442,0.372,0.142
AARS,c1,e9,r4,0.399,0.473,0.421
AASDHPPT,c3,e9,r4,0.588,0.478,0.718
ABCB1,c3,e9,r6,0.573,0.456,0.657
ABCB7,c3,e9,r9,0.706,0.656,0.172
ABCC10,c5,e9,r9,0.582,0.517,0.367
ABCC4,c10,e9,r3,0.287,0.554,0.381
ABCD3,c10,e9,r9,0.339,0.411,0.509
ABCE1,c2,e5,r5,0.414,0.273,0.163
ABCF3,c3,e9,r9,0.456,0.421,0.178
ABCG1,c8,e2,r6,0.180,0.904,0.954
ABHD10,c2,e9,r9,0.186,0.356,0.259
ABHD17B,c10,e4,r9,0.356,0.713,0.200
ABHD3,c10,e9,r9,0.294,0.438,0.431
ABI1,c10,e2,r5,0.204,0.342,0.364
ABL1,c10,e9,r7,0.281,0.481,0.222
ABLIM1,c4,e9,r9,0.883,0.747,0.262
ABTB2,c8,e2,r6,0.162,0.345,0.501
ACACA,c3,e9,r9,0.224,0.428,0.125
ACACB,c10,e9,r3,0.267,0.356,0.359
ACAD8,c1,e9,r3,0.322,0.459,0.377
ACADVL,c10,e9,r1,0.213,0.548,0.743
ACAP2,c3,e2,r3,0.245,0.581,0.524
ACAT1,c10,e1,r2,0.488,0.583,0.550
ACBD3,c10,e2,r9,0.318,0.417,0.168
ACKR3,c10,e9,r5,0.324,0.529,0.147
ACLY,c10,e2,r3,0.244,0.225,0.266
ACO2,c3,e9,r9,0.468,0.424,0.239
ACOT13,c10,e5,r9,0.445,0.388,0.401
ACOT9,c10,e1,r5,0.326,0.701,0.123
ACP1,c10,e9,r1,0.337,0.364,0.541
ACSF2,c9,e9,r3,0.527,0.420,0.144
ACSL3,c7,e9,r5,0.236,0.378,0.243
ACSL5,c10,e6,r9,0.285,0.473,0.944
ACTR10,c3,e2,r9,0.627,0.190,0.379
ACTR1A,c10,e6,r3,0.355,0.335,0.318
ACTR2,c7,e9,r9,0.121,0.365,0.838
ACTR3,c6,e9,r2,0.880,0.444,0.866
ACTR6,c3,e2,r9,0.658,0.462,0.421
ACYP1,c10,e2,r9,0.281,0.208,0.710
ACYP2,c10,e9,r9,0.259,0.367,0.388
ADA,c10,e2,r9,0.356,0.219,0.499
ADAM10,c10,e5,r9,0.227,0.424,0.390
ADAR,c8,e2,r2,0.080,0.313,0.724
ADCK2,c10,e9,r5,0.426,0.381,0.154
ADCY7,c10,e9,r9,0.312,0.709,0.384
ADD1,c8,e9,r9,0.781,0.399,0.427
ADD3,c8,e6,r2,0.464,0.590,0.747
ADGRG1,c7,e9,r9,0.373,0.571,0.260
ADH5,c5,e9,r9,0.402,0.388,0.517
ADI1,c2,e9,r9,0.353,0.393,0.200
ADIPOR1,c10,e4,r6,0.354,0.510,0.410
ADIPOR2,c1,e4,r9,0.250,0.608,0.325
ADK,c10,e9,r3,0.299,0.403,0.540
ADM,c7,e9,r8,0.528,0.360,0.419
ADNP,c10,e9,r9,0.271,0.377,0.421
ADNP2,c2,e9,r5,0.479,0.363,0.461
ADO,c3,e9,r9,0.567,0.451,0.308
ADPGK,c3,e1,r9,0.341,0.718,0.407
ADRB2,c7,e9,r9,0.278,0.463,0.280
ADRBK1,c1,e9,r6,0.279,0.303,0.517
ADRM1,c10,e9,r9,0.322,0.380,0.146
ADSL,c5,e1,r3,0.434,0.653,0.268
ADSS,c3,e2,r6,0.539,0.781,0.601
AES,c10,e2,r1,0.342,0.226,0.410
AFF1,c6,e9,r9,0.464,0.410,0.308
AFF4,c1,e9,r3,0.377,0.408,0.333
AFG3L2,c10,e9,r9,0.395,0.337,0.282
AFTPH,c8,e6,r6,0.107,0.198,0.283
AGA,c10,e9,r9,0.428,0.404,0.671
AGBL5,c10,e9,r5,0.207,0.510,0.256
AGER,c10,e9,r3,0.154,0.407,0.181
AGFG1,c10,e9,r5,0.349,0.488,0.200
AGK,c10,e1,r9,0.354,0.413,0.630
AGL,c3,e9,r3,0.561,0.447,0.518
AGO2,c4,e2,r6,0.556,0.666,0.536
AGO4,c10,e9,r1,0.369,0.641,0.638
AGPAT1,c6,e2,r7,0.625,0.193,0.203
AGPAT3,c10,e9,r5,0.256,0.356,0.194
AGPAT5,c10,e9,r9,0.376,0.443,0.188
AGPS,c10,e9,r9,0.210,0.469,0.305
AGTPBP1,c10,e9,r3,0.269,0.394,0.408
AHCTF1,c2,e9,r3,0.538,0.322,0.494
