Gene Symbol,Resolver Early vs Chronic Early (log2 fold change),Resolver Late vs Chronic Late (log2 fold change),Resolver Early vs Resolver Late (log2 fold change),Chronic Early vs Chronic Late (log2 fold change),Average Expression (log2),F-Value,Adjusted p-value (FDR)
IRS2,-0.96,0.69,-2.88,-1.24,7.05,30.12,3.62E-09
BCL2L11,-2.48,-1.33,-0.60,0.55,8.29,21.95,6.22E-07
TULP2,0.56,1.47,-2.12,-1.21,6.03,17.84,1.15E-05
RALA,-2.62,-1.41,-1.43,-0.21,8.43,15.86,3.94E-05
LBR,-0.04,-2.13,2.30,0.21,9.90,15.84,3.94E-05
ARF4,-1.19,-1.67,0.37,-0.11,7.86,14.83,7.36E-05
YEATS4,-0.04,-1.41,1.84,0.47,4.60,14.63,7.36E-05
S100A11,0.60,-1.70,2.14,-0.15,6.85,14.55,7.36E-05
NAB1,-1.33,-1.62,0.74,0.45,5.47,14.50,7.36E-05
TXNDC9,-0.77,-2.11,0.94,-0.40,5.42,13.11,2.41E-04
UBE4A,-0.31,-1.41,1.45,0.35,10.39,12.99,2.44E-04
SDF2,-0.66,-1.98,1.90,0.57,6.10,12.82,2.66E-04
DCP2,0.09,-2.14,2.24,0.01,6.13,11.44,9.36E-04
IFNGR1,-1.70,-0.28,-1.24,0.18,6.42,11.35,9.46E-04
RNF6,-0.40,-0.85,0.69,0.23,5.58,11.02,1.23E-03
HSPA14,-2.19,-1.67,-0.73,-0.20,6.93,10.86,1.23E-03
SNRPF,-1.51,-1.47,0.22,0.26,7.21,10.85,1.23E-03
MSMO1,-0.47,-1.78,1.71,0.40,6.23,10.84,1.23E-03
SKP1,-0.37,0.77,-1.29,-0.15,10.70,10.78,1.23E-03
BUB1B,0.18,0.16,1.51,1.49,4.45,10.70,1.28E-03
AGO4,-1.50,0.91,-0.25,2.17,5.80,10.63,1.31E-03
ACACA,-0.14,-1.41,-0.25,-1.53,4.72,10.20,1.86E-03
SLC25A32,-0.26,-0.75,1.32,0.83,5.14,10.19,1.86E-03
JUNB,0.11,1.33,-1.51,-0.29,10.38,10.03,2.06E-03
CD2AP,-0.70,-2.48,1.74,-0.03,6.60,10.01,2.06E-03
HARS2,-1.67,-1.38,0.03,0.32,6.74,9.96,2.07E-03
MCM6,-2.46,-0.66,-1.29,0.50,8.10,9.93,2.07E-03
NOC4L,-0.12,-3.09,1.77,-1.20,6.01,9.90,2.07E-03
ZWINT,-0.49,-0.25,2.36,2.60,5.59,9.85,2.09E-03
NUSAP1,-0.16,-0.76,2.24,1.63,5.72,9.55,2.77E-03
RRM2,-1.80,-0.28,0.73,2.24,4.43,9.41,3.10E-03
BLMH,1.02,-1.18,2.33,0.14,6.07,9.36,3.18E-03
RYBP,-0.98,-1.31,0.33,0.00,6.77,9.29,3.26E-03
UBAP1,-1.81,-0.68,-1.40,-0.28,8.78,9.08,3.94E-03
ZNF675,-1.34,-1.42,-0.23,-0.31,5.15,9.07,3.94E-03
PSMA4,0.01,-0.61,1.37,0.75,8.63,8.91,4.38E-03
HSPA2,1.09,0.79,-1.23,-1.53,5.36,8.91,4.38E-03
BRD1,-0.42,-1.95,1.64,0.11,9.71,8.86,4.51E-03
GBP1,0.63,-0.38,1.85,0.84,6.27,8.79,4.71E-03
ELF4,-0.35,-2.43,1.63,-0.46,7.62,8.69,5.14E-03
EIF5,-0.51,0.50,-1.15,-0.14,9.41,8.53,5.89E-03
PVRIG,-0.54,-1.30,1.32,0.56,5.67,8.49,6.04E-03
C6orf48,-0.76,0.48,-1.46,-0.22,10.41,8.34,6.92E-03
CDK2AP2,-0.19,1.18,-1.37,0.01,6.55,8.30,7.02E-03
PSMD9,-1.35,-1.03,-0.01,0.31,6.64,8.27,7.11E-03
HSPB11,0.60,-0.76,2.14,0.78,6.42,8.24,7.25E-03
STAT4,-0.77,-1.82,0.54,-0.51,9.24,8.19,7.47E-03
GDE1,-1.67,-1.07,-0.58,0.02,6.30,8.10,8.03E-03
KDM5A,-0.20,-0.96,0.93,0.17,6.63,8.07,8.03E-03
MRPS27,0.20,-1.53,1.84,0.10,7.17,8.07,8.03E-03
LOC100507577,-0.11,0.56,-1.40,-0.73,5.68,8.00,8.20E-03
ENTPD1,-0.30,-0.16,1.26,1.39,4.97,8.01,8.20E-03
SNX27,0.38,-1.73,0.48,-1.63,5.93,7.97,8.20E-03
TSC22D2,-0.69,0.09,-1.34,-0.55,7.18,7.93,8.20E-03
CPT1A,0.29,1.02,-0.58,0.16,4.44,7.92,8.20E-03
TOP2B,0.33,-1.17,1.44,-0.06,9.86,7.91,8.20E-03
NUP88,-1.38,-0.86,1.07,1.58,7.54,7.92,8.20E-03
UBE2V2,-1.58,0.01,-0.71,0.88,7.50,7.90,8.20E-03
DNAJC9,-1.64,0.33,-2.20,-0.22,7.38,7.89,8.23E-03
NAMPT,-2.35,0.04,-2.01,0.37,6.21,7.82,8.74E-03
ZNF451,-1.30,-0.54,-0.34,0.43,5.64,7.74,9.30E-03
PLK3,-0.38,0.32,-1.36,-0.66,6.31,7.73,9.32E-03
STK38,0.70,-1.38,1.77,-0.31,7.37,7.66,9.83E-03
API5,0.00,-1.44,1.76,0.32,7.23,7.64,9.97E-03
EXOSC7,-0.05,-1.15,0.29,-0.81,6.10,7.58,1.04E-02
STAT5A,-0.53,-1.13,0.74,0.14,11.10,7.55,1.05E-02
TRAF5,0.59,-0.96,1.80,0.25,6.83,7.55,1.05E-02
TOB2,0.07,1.77,-1.38,0.33,6.36,7.50,1.09E-02
INTS9,-1.07,-2.16,0.68,-0.41,5.83,7.43,1.17E-02
NDEL1,-0.40,-2.22,1.40,-0.43,6.98,7.37,1.23E-02
SLC37A1,0.08,-0.50,-0.35,-0.93,5.45,7.33,1.25E-02
TCP1,-0.11,-1.73,0.95,-0.67,8.76,7.32,1.25E-02
UQCRC2,-1.48,0.25,-1.25,0.48,9.18,7.30,1.27E-02
RTFDC1,0.26,-0.88,1.47,0.33,7.73,7.19,1.39E-02
PSMB10,0.54,-0.11,1.35,0.70,7.11,7.19,1.39E-02
EZH2,1.15,-0.28,2.25,0.82,8.23,7.17,1.40E-02
CSK,0.89,-0.92,1.94,0.13,6.81,7.16,1.40E-02
MMP9,1.48,0.15,1.10,-0.23,4.69,7.13,1.42E-02
CEP192,1.36,0.42,1.56,0.62,5.63,7.13,1.42E-02
NMD3,-1.79,-0.60,-1.07,0.11,8.31,7.10,1.43E-02
RNF13,-1.38,-1.54,0.10,-0.05,6.64,7.10,1.43E-02
GTF2E1,-0.48,-1.32,1.50,0.66,6.25,7.07,1.46E-02
KLF10,-0.93,0.65,-1.77,-0.19,10.06,7.01,1.51E-02
RBBP8,-1.76,-1.01,0.37,1.13,5.23,7.00,1.51E-02
BBIP1,-0.01,-1.29,0.49,-0.79,7.42,6.99,1.51E-02
TCF7,0.49,0.43,-0.62,-0.68,8.32,6.98,1.51E-02
ADIPOR2,-0.89,-1.15,0.79,0.54,6.00,6.97,1.51E-02
PSMC3IP,-1.61,1.06,-0.43,2.24,7.14,6.96,1.51E-02
ABCB1,-0.84,-1.46,1.22,0.60,6.05,6.95,1.51E-02
ACAP2,-0.20,-1.28,1.57,0.49,7.12,6.95,1.51E-02
CST7,0.04,-0.93,0.99,0.02,10.95,6.94,1.51E-02
EIF2S1,-0.01,-0.95,1.07,0.13,6.76,6.93,1.51E-02
HLA-DMB,-0.22,0.11,1.23,1.56,5.96,6.93,1.51E-02
FAM13B,-0.11,-1.46,1.40,0.06,5.98,6.90,1.55E-02
ZNF146,-0.21,-1.10,1.01,0.13,8.40,6.87,1.57E-02
CLEC2B,-0.04,-0.60,0.87,0.31,11.27,6.85,1.58E-02
RAB33A,-1.56,-0.96,0.34,0.94,4.76,6.85,1.58E-02
HLA-DRB1,0.31,-0.24,1.27,0.72,9.68,6.83,1.58E-02
SMC4,-0.53,-0.55,0.94,0.91,6.25,6.82,1.58E-02
MRM2,1.24,-0.97,1.51,-0.70,5.36,6.79,1.61E-02
SNTB2,1.64,0.49,1.01,-0.14,5.38,6.80,1.61E-02
