Gene,Set,Signature Type
SARS2,Activation_module_100,mouse signature
KIAA0141,Activation_module_100,mouse signature
ARPP19,Activation_module_100,mouse signature
ASRGL1,Activation_module_100,mouse signature
SDF2L1,Activation_module_100,mouse signature
TBCC,Activation_module_100,mouse signature
C12orf10,Activation_module_100,mouse signature
SEPHS1,Activation_module_100,mouse signature
DYNC1LI1,Activation_module_100,mouse signature
ZBTB38,Activation_module_100,mouse signature
TARDBP,Activation_module_100,mouse signature
SLC9A8,Activation_module_100,mouse signature
TYK2,Activation_module_100,mouse signature
THUMPD3,Activation_module_100,mouse signature
MRPL16,Activation_module_100,mouse signature
ACOT8,Activation_module_100,mouse signature
LRRK1,Activation_module_100,mouse signature
HSPA1A,Activation_module_100,mouse signature
HSPA1B,Activation_module_100,mouse signature
TCEA1,Activation_module_100,mouse signature
MAVS,Activation_module_100,mouse signature
POFUT2,Activation_module_100,mouse signature
VPS53,Activation_module_100,mouse signature
RIT1,Activation_module_100,mouse signature
SNAPC1,Activation_module_100,mouse signature
DNAAF2,Activation_module_100,mouse signature
COMMD10,Activation_module_100,mouse signature
PMPCB,Activation_module_100,mouse signature
EHBP1L1,Activation_module_100,mouse signature
ADAT3,Activation_module_100,mouse signature
DOHH,Activation_module_100,mouse signature
LSM4,Activation_module_100,mouse signature
PTCD1,Activation_module_100,mouse signature
ATP5J2-PTCD1,Activation_module_100,mouse signature
GMPPB,Activation_module_100,mouse signature
LAMTOR1,Activation_module_100,mouse signature
DRG2,Activation_module_100,mouse signature
CDCA7L,Activation_module_100,mouse signature
SSBP1,Activation_module_100,mouse signature
ANAPC15,Activation_module_100,mouse signature
NAGLU,Activation_module_100,mouse signature
AKR1B1,Activation_module_100,mouse signature
PAOX,Activation_module_100,mouse signature
EIF4E2,Activation_module_100,mouse signature
GPAA1,Activation_module_100,mouse signature
RAD50,Activation_module_100,mouse signature
STX18,Activation_module_100,mouse signature
GRPEL1,Activation_module_100,mouse signature
VMP1,Activation_module_100,mouse signature
REXO2,Activation_module_100,mouse signature
HIST1H1C,Activation_module_100,mouse signature
GGH,Activation_module_100,mouse signature
TAF6,Activation_module_100,mouse signature
COMMD3,Activation_module_100,mouse signature
PARL,Activation_module_100,mouse signature
RBM18,Activation_module_100,mouse signature
EXOSC4,Activation_module_100,mouse signature
ABHD10,Activation_module_100,mouse signature
DNAJC14,Activation_module_100,mouse signature
SERPINA3,Activation_module_100,mouse signature
CTCF,Activation_module_100,mouse signature
LMAN1,Activation_module_100,mouse signature
NEU3,Activation_module_100,mouse signature
EIF2D,Activation_module_100,mouse signature
HAUS5,Activation_module_100,mouse signature
USF1,Activation_module_100,mouse signature
AAR2,Activation_module_100,mouse signature
FARSB,Activation_module_100,mouse signature
COG4,Activation_module_100,mouse signature
COG2,Activation_module_100,mouse signature
FKBP2,Activation_module_100,mouse signature
SLC35A1,Activation_module_100,mouse signature
DPY30,Activation_module_100,mouse signature
ALDH3A2,Activation_module_100,mouse signature
C9orf16,Activation_module_100,mouse signature
ZDHHC6,Activation_module_100,mouse signature
RAD18,Activation_module_100,mouse signature
TSPAN4,Activation_module_100,mouse signature
NUDT16L1,Activation_module_100,mouse signature
TMEM167A,Activation_module_100,mouse signature
IPP,Activation_module_100,mouse signature
INIP,Activation_module_100,mouse signature
REEP4,Activation_module_100,mouse signature
ERP44,Activation_module_100,mouse signature
GIMAP7,Activation_module_100,mouse signature
CYB5B,Activation_module_100,mouse signature
ACAT2,Activation_module_100,mouse signature
ANAPC5,Activation_module_100,mouse signature
PEX19,Activation_module_100,mouse signature
PUF60,Activation_module_100,mouse signature
SLBP,Activation_module_100,mouse signature
MTG1,Activation_module_100,mouse signature
ACTR10,Activation_module_100,mouse signature
CCDC127,Activation_module_100,mouse signature
KPNB1,Activation_module_100,mouse signature
NPEPPS,Dysfunction_module_100,mouse signature
NOTCH2,Dysfunction_module_100,mouse signature
CABLES1,Dysfunction_module_100,mouse signature
CERK,Dysfunction_module_100,mouse signature
MTMR3,Dysfunction_module_100,mouse signature
RELB,Dysfunction_module_100,mouse signature
KLF3,Dysfunction_module_100,mouse signature
CAMK2D,Dysfunction_module_100,mouse signature
CCNG2,Dysfunction_module_100,mouse signature
SLC25A33,Dysfunction_module_100,mouse signature
PIM3,Dysfunction_module_100,mouse signature
RNF149,Dysfunction_module_100,mouse signature
SWAP70,Dysfunction_module_100,mouse signature
PINK1,Dysfunction_module_100,mouse signature
RAB2A,Dysfunction_module_100,mouse signature
FAM168B,Dysfunction_module_100,mouse signature
MAP2K7,Dysfunction_module_100,mouse signature
ASAP1,Dysfunction_module_100,mouse signature
GRASP,Dysfunction_module_100,mouse signature
POU2AF1,Dysfunction_module_100,mouse signature
GATA3,Dysfunction_module_100,mouse signature
B3GNT2,Dysfunction_module_100,mouse signature
FAS,Dysfunction_module_100,mouse signature
PIAS2,Dysfunction_module_100,mouse signature
FOXO1,Dysfunction_module_100,mouse signature
SEC24B,Dysfunction_module_100,mouse signature
TUBB2B,Dysfunction_module_100,mouse signature
PARP3,Dysfunction_module_100,mouse signature
PIGH,Dysfunction_module_100,mouse signature
BRAP,Dysfunction_module_100,mouse signature
ATP6V0D1,Dysfunction_module_100,mouse signature
IFT80,Dysfunction_module_100,mouse signature
FRRS1,Dysfunction_module_100,mouse signature
GPR132,Dysfunction_module_100,mouse signature
SH2B3,Dysfunction_module_100,mouse signature
CD74,Dysfunction_module_100,mouse signature
TBC1D22B,Dysfunction_module_100,mouse signature
CD19,Dysfunction_module_100,mouse signature
PHC2,Dysfunction_module_100,mouse signature
TRAT1,Dysfunction_module_100,mouse signature
SLAMF6,Dysfunction_module_100,mouse signature
YPEL3,Dysfunction_module_100,mouse signature
RARA,Dysfunction_module_100,mouse signature
MAN1A1,Dysfunction_module_100,mouse signature
CRTC3,Dysfunction_module_100,mouse signature
MKRN1,Dysfunction_module_100,mouse signature
BCL6,Dysfunction_module_100,mouse signature
CLN6,Dysfunction_module_100,mouse signature
MYB,Dysfunction_module_100,mouse signature
NDUFV1,Dysfunction_module_100,mouse signature
SLC28A2,Dysfunction_module_100,mouse signature
FBXL20,Dysfunction_module_100,mouse signature
SCIN,Dysfunction_module_100,mouse signature
LGMN,Dysfunction_module_100,mouse signature
WTAP,Dysfunction_module_100,mouse signature
BCL3,Dysfunction_module_100,mouse signature
SLC2A6,Dysfunction_module_100,mouse signature
IL2RG,Dysfunction_module_100,mouse signature
SNTB1,Dysfunction_module_100,mouse signature
KDM5B,Dysfunction_module_100,mouse signature
UTP15,Dysfunction_module_100,mouse signature
LATS2,Dysfunction_module_100,mouse signature
RASSF2,Dysfunction_module_100,mouse signature
IFI30,Dysfunction_module_100,mouse signature
KDM4B,Dysfunction_module_100,mouse signature
IER5,Dysfunction_module_100,mouse signature
CD5,Dysfunction_module_100,mouse signature
MNDA,Dysfunction_module_100,mouse signature
PCGF5,Dysfunction_module_100,mouse signature
GPR35,Dysfunction_module_100,mouse signature
SPRY1,Dysfunction_module_100,mouse signature
TNIP1,Dysfunction_module_100,mouse signature
CSNK1D,Dysfunction_module_100,mouse signature
NSMCE1,Dysfunction_module_100,mouse signature
NR4A1,Dysfunction_module_100,mouse signature
OSBPL11,Dysfunction_module_100,mouse signature
PNRC1,Dysfunction_module_100,mouse signature
ITGAE,Dysfunction_module_100,mouse signature
SNX18,Dysfunction_module_100,mouse signature
TMEM55B,Dysfunction_module_100,mouse signature
IKZF2,Dysfunction_module_100,mouse signature
ISCU,Dysfunction_module_100,mouse signature
