geneID	symbol	P0205	P0322	P0407	P0508	P1116
1	A1BG	63402	353	32464	59135	2091
10	NAT2	400	7	268	40	41
100	ADA	339	416	362	151	233
1000	CDH2	2974	6875	5208	6097	1112
10000	AKT3	615	1817	326	268	204
100008586	GAGE12F	0	78	0	0	0
100009676	ZBTB11-AS1	95	575	445	143	110
10001	MED6	431	815	414	687	184
10002	NR2E3	1	2	2	11	19
10003	NAALAD2	16	155	82	14	8
100033413	SNORD116-1	0	0	1	0	0
100033414	SNORD116-2	0	14	7	0	5
100033415	SNORD116-3	0	1	0	0	0
100033416	SNORD116-4	0	19	12	0	0
100033417	SNORD116-5	0	0	0	0	0
100033420	SNORD116-8	0	0	1	0	0
100033422	SNORD116-10	0	0	0	0	0
100033423	SNORD116-11	0	0	0	0	0
100033424	SNORD116-12	0	0	0	0	0
100033425	SNORD116-13	3	11	2	0	0
100033427	SNORD116-15	0	1	0	0	0
100033428	SNORD116-16	0	0	0	0	0
100033430	SNORD116-18	0	0	0	0	0
100033431	SNORD116-20	0	22	3	9	1
100033433	SNORD116-22	0	3	0	0	0
100033434	SNORD116-23	0	0	0	0	0
100033435	SNORD116-24	0	4	4	0	0
100033436	SNORD116-25	0	0	0	0	0
100033437	SNORD115-2	0	0	0	0	0
100033438	SNORD116-26	2	24	8	2	0
100033440	SNORD115-3	0	0	0	0	0
100033441	SNORD115-4	0	0	0	0	0
100033442	SNORD115-5	0	0	0	0	0
100033443	SNORD115-6	1	0	0	0	0
100033444	SNORD115-7	0	0	0	0	0
100033445	SNORD115-8	0	0	0	0	0
100033446	SNORD115-9	0	0	0	0	0
100033447	SNORD115-10	0	0	0	0	0
100033448	SNORD115-11	0	0	0	0	0
100033450	SNORD115-13	0	0	0	0	0
100033451	SNORD115-14	0	0	0	0	0
100033454	SNORD115-16	0	0	0	0	0
100033455	SNORD115-17	0	0	0	0	0
100033799	SNORD115-22	0	0	0	0	0
100033801	SNORD115-25	0	0	0	0	0
100033802	SNORD115-26	0	0	0	0	0
100033804	SNORD115-30	0	0	0	0	3
100033805	SNORD115-31	0	0	0	0	0
100033806	SNORD115-32	0	0	0	0	0
100033807	SNORD115-33	0	0	0	0	0
100033809	SNORD115-35	0	0	0	0	0
100033811	SNORD115-37	0	0	0	0	0
100033812	SNORD115-38	0	0	0	0	0
100033813	SNORD115-39	0	0	0	0	0
100033814	SNORD115-40	0	0	0	0	0
100033815	SNORD115-41	0	0	0	0	0
100033818	SNORD115-44	0	0	0	0	0
100033819	MIR675	291	3128	10159	1118	196
100033820	SNORD116-28	0	0	0	0	0
100033821	SNORD116-29	0	0	0	0	0
100033822	SNORD115-48	0	0	0	0	0
100036519	NA	0	0	0	0	0
100036563	SNORD115-24	0	0	0	0	0
100036564	SNORD115-27	0	0	0	0	0
100036565	SNORD115-28	0	0	0	0	0
100036566	SNORD115-45	0	0	0	0	0
100036567	SNORD115-47	0	0	0	0	0
100037417	DDTL	10278	2508	3418	12058	272
100038246	TLX1NB	7	0	3	9	5
10004	NAALADL1	51	158	71	43	97
100048912	CDKN2B-AS1	33	1059	81	95	23
100049076	GUSBP9	15	1	2	4	0
100049587	SIGLEC14	35	332	18	9	0
10005	ACOT8	928	1152	1431	1430	848
10006	ABI1	2165	3577	1335	1258	1883
10007	GNPDA1	1303	2624	744	898	673
100073347	MIMT1	0	0	4	0	0
10008	KCNE3	114	1162	293	702	157
10009	ZBTB33	1536	2248	1358	724	727
100093630	SNHG8	409	424	944	817	949
100093631	GTF2IP4	366	857	641	193	58
100093698	GS1-600G8.3	0	0	0	3	3
1001	CDH3	0	27	2	0	21
10010	TANK	1025	2253	1076	663	335
100101116	TTTY1B	0	0	0	0	0
100101120	TTTY7B	0	0	0	0	0
100101266	HAVCR1P1	0	8	1	20	4
100101267	POM121C	405	1741	986	496	760
100101467	ZSCAN30	396	531	302	219	586
100101490	MCTS2P	55	107	236	69	34
100101629	GAGE8	0	531	41	1	0
100101938	ANKRD26P3	4	0	0	0	0
10011	SRA1	1829	1237	999	1834	437
100113378	SNORD119	0	14	6	2	9
100113379	SNORD121A	0	3	0	0	1
100113381	SNORD19B	3	17	9	23	10
100113382	SNORD105B	0	0	0	0	1
100113384	SNORD123	2	4	0	2	0
100113386	UCKL1-AS1	304	424	443	692	583
100113389	SNORD127	0	0	0	0	2
100113391	SNORD126	0	0	0	0	1
100113392	SNORD11B	0	0	2	0	13
100113393	SNORD12B	0	11	1	6	26
100113402	SNORD111B	0	0	0	0	0
100113403	LIN28B-AS1	0	0	0	0	2
100113404	LINC00583	0	0	0	0	0
100113407	TMEM170B	1069	1652	1233	852	407
100124412	FAM138E	0	0	0	0	0
100124516	SNORD58C	24	42	17	58	124
100124533	SCARNA27	2	6	0	2	2
100124534	SNORA84	0	2	1	0	11
100124535	SNORA36C	2	0	0	0	0
100124536	SNORA38B	0	0	2	1	0
100124537	SNORA70B	0	2	0	0	11
100124538	SNORA70C	0	0	0	0	0
