gs_name,gene_number
Act48h_dn,519
Act48h_up,592
best_cluster_1,28
best_cluster_10,92
best_cluster_2,577
best_cluster_3,291
best_cluster_4,84
best_cluster_5,225
best_cluster_6,53
best_cluster_7,123
best_cluster_8,219
best_cluster_9,82
d5_KLRG1hi_Runx3_promoted,374
d5_KLRG1hi_Runx3_repressed,2031
d5_KLRG1lo_Runx3_promoted,168
d5_KLRG1lo_Runx3_repressed,767
DP_dn,116
DP_up,303
EE_dn,158
EE_up,130
EXH_dn,1553
EXH_up,463
GSE132110_Tim3pos_vs_Tim3neg---Tim3neg,1094
GSE132110_Tim3pos_vs_Tim3neg---Tim3pos,1177
GSE68056_WT_vs_Blimp1KO---Blimp1KO,34
GSE68056_WT_vs_Blimp1KO---WT,74
GSE68056_WT_vs_Il2raKO---Il2raKO,147
GSE68056_WT_vs_Il2raKO---WT,276
GSE68056_WT_vs_Tbx21KO---Tbx21KO,151
GSE68056_WT_vs_Tbx21KO---WT,206
GSE72408_WT_vs_Tbx21KO---Tbx21KO,441
GSE72408_WT_vs_Tbx21KO---WT,56
GSE72408_WT_vs_Zeb2KO---WT,26
GSE72408_WT_vs_Zeb2KO---Zeb2KO,35
JJM_CirculatingSignature,93
JJM_TrmSignature,121
klf2_promoted,492
klf2_repressed,164
MEM_dn,569
MEM_up,542
MP_dn,70
MP_up,69
NAV_dn,552
NAV_up,555
Tcf7_promoted,460
Tcf7_repressed,528
TE_biased,1005
TE_dn,253
TE_up,97
Texint_dn,135
Texint_up,189
Texprog1_dn,125
Texprog1_up,135
Texprog2_dn,54
Texprog2_up,240
Texterm_dn,330
Texterm_up,240
Tim3negBlimp1neg,257
Tim3posBlimp1pos,372
Tox_promoted,340
Tox_repressed,362
TRM_biased,145
Yao_EXH,333
Yao_MP,122
Yao_PRO,207
