gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
CEBPD,-4.813582188,5.179728888,-5.528472289,2.07E-07,0.001157937,6.706601232
ZNF460,3.973744621,4.213746269,5.498870496,2.36E-07,0.001157937,6.587054557
HSPB1,-3.982453222,6.953247597,-5.454553673,2.88E-07,0.001157937,6.408740164
MAP9,3.079851161,3.74250064,5.337107052,4.85E-07,0.001157937,5.94007888
ZNF669,3.943241499,3.371873581,5.3263994,5.09E-07,0.001157937,5.897637735
SPIRE2,-4.118917644,3.72966832,-5.302502088,5.65E-07,0.001157937,5.803093332
PACRGL,-2.710272503,2.728352827,-5.263615277,6.70E-07,0.001177103,5.649768821
HSPA6,-6.651264571,10.41149258,-5.166157991,1.02E-06,0.001548569,5.268401012
MARCO,-5.785089391,5.16042505,-5.122981186,1.23E-06,0.001548569,5.100787611
PTMS,-2.221176092,2.881781259,-5.118363185,1.26E-06,0.001548569,5.082910027
APOE,-6.73681021,5.957293323,-5.091802215,1.41E-06,0.001562408,4.980272525
NUPR1,-4.495704184,3.499911015,-5.07388605,1.52E-06,0.001562408,4.91122177
SFTPB,-6.741861399,4.119315801,-4.986513878,2.21E-06,0.002093946,4.576600414
GZMB,-4.704593313,5.852925848,-4.905758798,3.11E-06,0.00258917,4.270507022
CYP27A1,-5.117853536,3.789705417,-4.902409093,3.16E-06,0.00258917,4.257877515
DEPDC1,-1.531815783,1.797717592,-4.875459204,3.54E-06,0.002718095,4.156464196
EPCAM,-2.640897609,2.023595906,-4.732282728,6.41E-06,0.004637397,3.623651582
PGLYRP2,-1.924746446,2.228000662,-4.700052424,7.32E-06,0.005000008,3.505121067
ADM,-4.261380363,5.11002318,-4.675117284,8.10E-06,0.005245995,3.413781395
SOX13,-1.915551211,2.006345395,-4.619312224,1.02E-05,0.006255512,3.210518454
C1QA,-5.409434352,5.669568375,-4.545923633,1.37E-05,0.00801281,2.945675551
MYO10,-1.660897673,1.93232978,-4.53238491,1.44E-05,0.008075841,2.897127239
GPX3,-4.868736807,3.863332163,-4.503032597,1.62E-05,0.00868785,2.792208041
TYROBP,-3.970879246,4.628451656,-4.44770665,2.03E-05,0.010376593,2.595703133
GPNMB,-5.044131747,4.5284953,-4.408189255,2.37E-05,0.011554039,2.456362314
SERPING1,-4.733148043,3.913908849,-4.400247062,2.44E-05,0.011554039,2.428460685
CTSB,-3.023337526,9.370963828,-4.387492013,2.57E-05,0.011698705,2.383723589
DOK2,-1.81642842,8.576829142,-4.361209924,2.85E-05,0.012506213,2.291824679
YWHAH,-2.227616778,7.596187012,-4.339010465,3.11E-05,0.013169807,2.214499582
SLC11A1,-4.387177018,4.181297658,-4.29946657,3.62E-05,0.014703301,2.077442082
IGFBP2,-2.741952603,2.341935004,-4.284909395,3.83E-05,0.014703301,2.02720877
CTSL,-4.025523481,5.712585147,-4.283808867,3.85E-05,0.014703301,2.023415976
SERPINH1,-4.127625146,5.288354096,-4.277412144,3.95E-05,0.014703301,2.001384244
ALDH2,-4.292150629,4.14980927,-4.26089091,4.21E-05,0.015211414,1.944588696
SMAD9,-1.121433687,1.778783584,-4.227872187,4.78E-05,0.016779322,1.831544622
HS3ST3A1,0.842890061,1.857789896,4.211484289,5.09E-05,0.01702957,1.775670006
CCL20,-3.668950321,4.749396198,-4.209517241,5.12E-05,0.01702957,1.768973716
C1QC,-4.163104733,4.514211867,-4.20002351,5.31E-05,0.01719477,1.736686151
GALNT3,-2.631622461,3.025589228,-4.180710279,5.72E-05,0.017927081,1.671163624
DNAJB1,-2.826594487,13.32109978,-4.174808496,5.85E-05,0.017927081,1.651184148
APOC1,-2.795233785,2.89661246,-4.169166032,5.98E-05,0.017927081,1.632101439
IFITM3,-2.725056416,5.608629316,-4.158617717,6.22E-05,0.018180686,1.596476848
IKBKAP,3.515571379,5.253212255,4.148521007,6.46E-05,0.018180686,1.562438133
C1QB,-5.107639501,5.962160723,-4.139327376,6.69E-05,0.018180686,1.531495684
SARDH,-2.999735452,3.614532199,-4.133540933,6.84E-05,0.018180686,1.51204594
TRBV7-4,1.551917571,2.708952814,4.127407783,7.00E-05,0.018180686,1.491452234
FCER1G,-3.894410941,5.12354515,-4.124032749,7.09E-05,0.018180686,1.480129054
DEDD2,-2.444817665,8.592619569,-4.123888449,7.10E-05,0.018180686,1.47964508
GNL3,3.14945767,7.220431041,4.11114563,7.45E-05,0.018687174,1.436954545
LYZ,-3.673930145,4.141238646,-4.03998469,9.72E-05,0.023913438,1.200319017
ZNF845,3.32671791,3.903942237,4.034047462,9.94E-05,0.023968988,1.180711887
TSC22D1,-3.028612666,5.524946977,-4.027706916,0.000101774,0.024069486,1.159796158
ITGAE,-2.67366991,6.31759882,-4.012397797,0.000107731,0.024841793,1.109395057
FABP4,-4.162818005,3.530317441,-4.009045837,0.000109079,0.024841793,1.098378459
LGALS3,-2.866469797,5.997293777,-4.003475071,0.000111356,0.024899104,1.080084473
STXBP2,-1.854410876,5.634327534,-3.995579886,0.00011466,0.025180054,1.054189348
CLDN4,-3.065500469,2.250389697,-3.985687893,0.000118931,0.025659985,1.021798141
SCIN,-1.436203005,1.821803874,-3.978056499,0.000122331,0.025795557,0.99684973
ITGAM,-3.318228055,3.346193164,-3.97491881,0.000123755,0.025795557,0.986602302
GZMH,-4.246972588,4.60078727,-3.95556119,0.000132899,0.027239774,0.92351431
COPZ1,-2.154622363,6.385246183,-3.944155883,0.000138584,0.027565418,0.886450438
CTSD,-3.067775818,6.354895769,-3.94339766,0.00013897,0.027565418,0.883989253
GLUL,-2.668022745,8.807803063,-3.939033089,0.000141213,0.027565623,0.869828743
PARK2,2.055250356,2.791537179,3.931972209,0.000144914,0.027846108,0.846944956
CLDN3,-1.386149854,1.79272072,-3.921200654,0.000150739,0.028519794,0.812094033
FAM107A,-1.517921258,1.781509259,-3.916098801,0.000153575,0.028616164,0.795612069
CSF1,-4.300102271,5.505456721,-3.911529013,0.000156159,0.028663285,0.780862577
LEAP2,-1.249831252,2.134133316,-3.894374673,0.000166232,0.030063527,0.725609901
FCGR3A,-4.216186056,5.199353325,-3.889579935,0.000169156,0.030149049,0.710198945
STYK1,-1.991811133,2.116390935,-3.88470594,0.000172179,0.030249441,0.694547829
OSBPL7,-3.164723319,5.004038331,-3.850013927,0.000195232,0.033816304,0.583572639
ACP5,-3.084986728,4.786774031,-3.839870351,0.000202509,0.033967091,0.551266323
HMOX1,-4.171753483,5.051151847,-3.839870183,0.000202509,0.033967091,0.551265789
PRF1,-3.181870752,6.882066797,-3.835610485,0.000205641,0.033967091,0.537718237
MAPK8,2.592283161,4.232242813,3.833580394,0.00020715,0.033967091,0.531265727
SDCBP2,-1.807783118,2.445016249,-3.794628376,0.000238226,0.038548793,0.407960476
VWA3A,-1.319573971,1.782421717,-3.784024537,0.000247425,0.039204095,0.374558882
GFI1,-3.229919829,5.452381574,-3.776850023,0.000253839,0.039204095,0.351999854
RHOC,-2.108544656,3.956587304,-3.77484912,0.000255656,0.039204095,0.345714175
ZNF107,2.529241542,4.800498179,3.770426404,0.000259715,0.039204095,0.331829569
ORM2,-0.757401437,1.747396081,-3.769616816,0.000260465,0.039204095,0.329289305
