gene_name,p-value,log2FoldChange
Tcf7,1.22E-10,21.7408
Tnfsf8,9.29E-10,17.0954
Aff3,7.13E-10,16.636
Il23r,2.78E-06,14.1501
,0.0162726,13.0104
Ccr6,5.96E-07,12.463
Cxcr5,1.46E-07,10.1686
Sell,1.07E-05,9.58524
Tespa1,5.36E-06,8.92234
Ccr7,1.36E-06,8.5695
Cxcl10,0.000122965,8.43601
Dapl1,4.56E-06,8.11535
Il7r,0.00576617,7.91306
P2rx7,3.25E-06,7.75404
Plxdc2,1.66E-06,7.2494
Tnfsf4,0.00282481,6.80719
Aicda,4.89E-06,6.73276
Bcl6,4.2E-06,6.30911
Nt5e,5.58E-06,6.25823
Parp8,5.25E-09,6.19044
Kit,8.57E-07,6.0119
Tnfrsf26,0.000146101,5.84878
Gucy1a3,6.27E-06,5.51098
Cd83,4.17E-06,5.44205
Ighj2,4.32E-05,5.15531
Gm19422,0.00350117,5.0786
Gm11454,1.17E-06,5.06948
Plagl1,0.00139216,4.69815
Art3,6.89E-07,4.65689
,0.00845704,4.60533
Cd200,4.69E-06,4.53832
Xcl1,1.8E-07,4.48494
Sesn3,1.82E-07,4.20141
Vwa5a,1.23E-05,4.16655
Ms4a4c,5.15E-05,4.07061
,0.0205026,4.01728
Rgs10,7.67E-06,3.97283
Nsg2,3.27E-05,3.97168
Crtam,2.64E-06,3.95177
Id3,1.67E-05,3.95116
Asap1,4.62E-07,3.89634
Hectd2,5.86E-08,3.88736
Tlr1,7.84E-05,3.86081
Gm24371,0.00109237,3.84724
Cd22,2.69E-05,3.84271
Bach2,2.24E-07,3.82616
,0.0017899,3.79458
Slamf6,6.09E-05,3.73929
Ikzf2,0.000580929,3.65062
Mx2,6.06E-05,3.61498
,0.0153509,3.60528
,0.0410948,3.58483
,0.000173113,3.53758
Bace2,6.06E-05,3.53741
Tmprss11e,0.00364124,3.535
Spock2,4.15E-06,3.48368
Mir5104,0.00285879,3.46933
H2-Oa,6.49E-06,3.4404
,0.000171894,3.41967
1700019D03Rik,3.29E-06,3.39433
Tbc1d4,0.000277635,3.36177
Lrig1,5.58E-05,3.35723
Inpp4b,4.02E-07,3.34802
Tnfrsf25,1.43E-06,3.29031
Cables1,0.000258636,3.26991
Enpp2,0.000235455,3.25843
Sh2b3,6.31E-08,3.24329
Ddx60,1.63E-05,3.23988
9130004J05Rik,2.94E-05,3.14345
,0.00246178,3.14252
Ifi44,0.00837931,3.14004
Ifnar2,4.6E-06,3.09022
Slamf6,3.4E-07,3.06864
Cacna1d,2.58E-05,3.05295
Tlr7,0.00027201,3.04869
,0.0424377,3.04682
Gm26551,5.79E-05,3.04417
Slc2a6,0.000163866,3.03494
Il1r2,0.0212287,2.99218
Klf4,0.00323144,2.96813
Lif,0.000458878,2.91428
Tnfsf11,0.0123648,2.9121
Calcoco1,0.00265241,2.89043
Gm23633,0.0062894,2.86521
,0.000439699,2.86413
,0.000439699,2.86413
,0.00462577,2.86113
Ephx1,0.000238606,2.82729
Ispd,0.000127747,2.81219
Evl,0.00011538,2.7683
,0.00186334,2.75576
,0.0481863,2.75051
Rab37,3.99E-05,2.74709
Dpy19l3,0.000294225,2.74072
Gm26517,0.00265688,2.73818
Fcrl1,0.0046181,2.72991
,0.0113935,2.72042
Slfn5,0.000170852,2.71129
Nrn1,0.00163696,2.69838
Gm20275,1.87E-05,2.67639
,0.0281109,2.6606
Ldlrad4,4.07E-05,2.66012
Susd2,0.00116503,2.64927
Grtp1,2.8E-06,2.64724
Btla,0.000116491,2.62593
D130062J21Rik,0.000434831,2.6171
Oasl2,0.00298725,2.61436
Mgat5,6.94E-08,2.60275
Igf1r,0.000302333,2.58687
2310001H17Rik,2.97E-06,2.58208
Ly96,0.0138243,2.58187
Ifit1,0.000280072,2.57196
Kdm4d,9.53E-05,2.56497
Dnah8,0.00239555,2.56395
Cd81,0.000239721,2.55667
Cpne3,1.09E-05,2.55123
Abca3,2.54E-06,2.5501
Phxr4,0.000594795,2.54932
Dthd1,0.000788542,2.54118
Sostdc1,0.0103301,2.51324
Scml4,0.000155524,2.51077
Tmlhe,0.000234181,2.49887
Efnb2,0.0117908,2.49826
,0.0493523,2.49372
Cd2ap,0.00574569,2.4935
,0.000105406,2.49033
Gm11579,0.000658798,2.48416
Gm26372,0.000826793,2.48028
Mir568,0.000290217,2.47682
Inadl,1.64E-05,2.47054
,0.0180414,2.46632
Spry2,0.000114522,2.46234
Tnfrsf4,0.00044084,2.46163
,0.00767495,2.45443
Gm11932,0.00290385,2.4513
Ar,0.000539244,2.45116
Penk,1.16E-05,2.44992
,0.0101418,2.44334
Kif1b,8.88E-06,2.43627
Tnfrsf23,0.0162291,2.4271
Camsap2,0.000571423,2.42227
,0.00138484,2.41386
Lrrk2,0.00291747,2.41341
Adk,0.000614399,2.41306
4930417O13Rik,0.000169158,2.39373
,0.0132539,2.38139
,0.00848684,2.36116
Pou6f1,3.99E-05,2.35902
Gm23121,0.00106847,2.35891
Lta,7.11E-05,2.35513
Gm25680,0.000694246,2.3549
Bphl,1.95E-05,2.35275
,0.00432887,2.3463
St6galnac3,0.00509512,2.33879
,0.0291583,2.33408
Ltb,7.9E-05,2.33399
Kdm5b,1.96E-05,2.32534
Zhx2,0.000505208,2.31941
,0.023749,2.31934
,0.0254681,2.31807
Map4k4,1.65E-07,2.3044
Zfp36l1,1.43E-06,2.29756
Gm22043,0.00101068,2.28537
Sh3bp5,5.14E-05,2.27485
Dzip1,0.000403383,2.27395
Ypel2,0.000834264,2.27386
Arl5c,0.00051007,2.26966
Bcl2,0.0147919,2.26839
,0.000365426,2.26269
Wipf3,0.000872535,2.26127
Fas,0.000516498,2.25985
Mxd4,0.000120872,2.25757
Gm22775,0.000572672,2.25107
Tcp11l2,9.9E-06,2.24082
Gm20038,0.000184701,2.2398
,0.013976,2.23493
,0.029137,2.22917
Bmpr2,0.000132835,2.22567
Gm24488,0.00200555,2.22345
Gm24488,0.00200555,2.22345
Gm24488,0.00200555,2.22345
Abcg1,0.000971552,2.21574
Ccdc64,1.57E-05,2.21485
Mnda,0.000114809,2.21434
Bbs2,0.000327873,2.18966
Rsad2,0.0019682,2.18148
Actn1,1.76E-05,2.1813
Ssbp2,0.000535274,2.18105
Ccdc141,0.00011022,2.17937
Mir669j,0.00192854,2.17753
,0.00169219,2.17628
Gm25447,0.00076405,2.16928
Il18,0.000259203,2.15922
Ehd3,0.00603281,2.1592
Ppp2r3a,0.00684643,2.15611
,0.00528936,2.15017
Tcn2,0.000197991,2.1458
Arhgap5,9.24E-05,2.14171
Gm15133,0.000416326,2.14032
Cxx1c,0.000401287,2.13685
Irs2,0.00129805,2.1319
,0.0356362,2.12463
Cyth3,0.00014549,2.11752
Irf2bp2,0.00128858,2.11421
Myo1e,0.00623171,2.10969
,0.0153945,2.10888
Mir669k,0.00110552,2.10531
Casp4,2.69E-06,2.10096
,0.0444986,2.10058
Gm11399,0.00197382,2.09569
Immp2l,2.51E-05,2.09452
E030047D23Rik,0.00832075,2.09388
E030047D23Rik,0.00832075,2.09388
,0.0172982,2.08919
Ikbke,0.000854749,2.08697
Gm22166,0.000284189,2.08549
Gm22166,0.000284189,2.08549
Cd9,9.06E-05,2.08025
Ighd6-1,0.0160479,2.07924
Ighd6-1,0.0160479,2.07924
,0.0317957,2.07902
,0.024566,2.07559
,0.0413047,2.07511
Fam81a,0.00067936,2.07307
Galm,0.000621355,2.06849
Gm22775,0.000773706,2.0634
Gm22775,0.000773706,2.0634
,0.00524004,2.05112
,0.0151456,2.04993
Pdzk1ip1,4.01E-05,2.04989
Mgst2,3.45E-05,2.04883
Sft2d2,3.41E-06,2.04864
,0.0423762,2.04857
,0.00348787,2.04723
Ccpg1os,0.00106779,2.03974
,0.0461085,2.03759
Gm17745,0.00778447,2.03473
Zfp455,0.000427834,2.0347
1500012F01Rik,1.02E-05,2.03262
Zfp831,0.00427847,2.03209
Gm14085,0.000727798,2.02436
Cxcr4,0.0342811,2.02394
,0.0166592,2.02327
,0.0114033,2.02074
,0.0114033,2.02074
Hpcal1,4.54E-05,2.01919
Rnf122,0.000165441,2.01914
Samd3,0.00134739,2.01873
Nfat5,0.000815637,2.01685
Mir155,0.00625644,2.01485
Itga7,0.00046853,2.01044
Lad1,0.0433918,2.00962
Pecam1,0.000343597,2.00861
Scd2,0.0211917,2.003
Gatsl3,0.000708075,2.00261
Gpm6b,0.00105128,2.00189
,0.0210863,2.00129
Polq,0.000543386,-2.00043
LOC102640775,0.00128431,-2.00108
Wdr76,7E-05,-2.00365
,0.00111116,-2.00586
,0.0135157,-2.00871
St14,2.84E-05,-2.01073
Gm26004,6.06E-05,-2.01119
Pole2,0.00163344,-2.01303
Iqgap3,0.000695255,-2.01367
Kif20a,0.000526103,-2.01374
,0.0290242,-2.01506
Galnt3,0.000757204,-2.01743
Incenp,6.13E-05,-2.01758
Nup107,0.000189307,-2.01865
Pkmyt1,0.00160089,-2.01941
Pxylp1,1.45E-05,-2.01995
Prim1,0.000165611,-2.02095
Atp2b4,0.0111706,-2.02264
Fanci,4.1E-05,-2.02314
Spc24,0.00131821,-2.02385
Gm24674,0.0076731,-2.024
Oip5,0.000975463,-2.02408
Ighv1-62-3,0.0311103,-2.02656
Rom1,0.00115918,-2.02862
Frmd4b,0.000734026,-2.03005
Brca1,0.000773399,-2.03077
Chtf18,7.34E-05,-2.03313
Hist2h2ac,4.52E-05,-2.03698
Uhrf1,0.00432416,-2.04366
Lrrk1,0.000241354,-2.04446
Troap,0.000495238,-2.04513
Arl5a,1.53E-05,-2.04662
Ighv1-36,0.0413926,-2.04816
Exo1,0.00021962,-2.04831
Tpx2,0.0015616,-2.04938
Ndc80,0.000241414,-2.05001
Trip13,0.00132858,-2.05003
Ifngr1,2.87E-05,-2.05217
Cacna1i,0.000176006,-2.05441
Adap1,0.000877323,-2.05712
Kif18a,0.00116523,-2.05762
Hist1h2bh,0.0153977,-2.05824
Gtse1,0.000176973,-2.05863
,0.00347194,-2.05877
Myo1f,0.000155799,-2.06171
,0.00887565,-2.06232
Cdca2,0.000242395,-2.06259
Polh,0.00162162,-2.06299
Pbk,0.00965969,-2.0633
Car5b,0.00186574,-2.06461
Padi2,3.63E-05,-2.06585
Casp7,1.68E-05,-2.06868
Ckap2,0.000161618,-2.06966
4930428O21Rik,0.00194702,-2.07095
Lilrb4,0.0148262,-2.07174
