gene_name,p-value,log2FoldChange
Trav1,2.48E-05,-4.6861
Cxcl10,1.61E-05,-4.43437
Aff3,0.000344672,-4.17055
,0.0224954,-3.71645
Cd200,8.12E-05,-3.71053
Il23r,0.0197911,-3.42034
Cxcr5,0.0148014,-3.0759
Aicda,0.00382178,-3.05804
Ikzf2,0.00145224,-2.90572
Tnfsf8,0.00242914,-2.83046
Sell,0.00701649,-2.80746
Mboat1,0.00160651,-2.71063
Tcf7,0.0151032,-2.56897
Mid1,0.0497372,-2.5135
Trav2,0.000849372,-2.42863
Tlr1,0.0040328,-2.33877
Ccdc141,0.00183161,-2.28
Igf2bp3,0.000901174,-2.21587
,0.0337121,-2.21067
Plxdc2,0.0129626,-2.13862
Cpm,0.0402765,-2.09839
Elovl6,0.00955344,-2.05278
,0.0455522,-2.0413
Ccr7,0.0256127,-2.03485
,0.0193238,-2.02996
,0.00373935,-2.02493
Dapl1,0.0466891,-1.96914
,0.0143719,-1.9649
,0.0207987,-1.92139
,0.0262943,-1.87483
Lrrk2,0.0120369,-1.87064
Fcrl1,0.000675111,-1.84901
D130040H23Rik,0.00779931,-1.84243
Gng3,0.00209337,-1.83088
,0.0371516,-1.82474
,0.0416436,-1.80327
Prelid2,0.0330394,-1.77247
Gm13528,0.0359106,-1.75061
Ptprk,0.034698,-1.7005
,0.0273972,-1.69908
Gm2800,0.0111273,-1.69547
Cacna1d,0.00415085,-1.68852
Gm26372,0.0105033,-1.68826
Abca3,0.0026596,-1.6881
Ociad2,0.0345042,-1.67364
Inpp5f,0.00447647,-1.66067
,0.0331913,-1.63296
,0.0331913,-1.63296
,0.0489139,-1.63285
Gm11454,0.0348693,-1.6259
,0.00387969,-1.6125
,0.0474864,-1.5957
Car2,0.0361801,-1.58785
,0.0450693,-1.58642
,0.046467,-1.57841
Kit,0.00739896,-1.56958
Gstk1,0.00826127,-1.55272
Nkain1,0.0245563,-1.54723
,0.0436714,-1.533
Arxes2,0.0330317,-1.52977
Gm14230,0.0143667,-1.52229
,0.030129,-1.52225
Tnfrsf13b,0.0424367,-1.51405
Adrb1,0.0167783,1.53502
Gm23041,0.0355449,1.5623
,0.033812,1.59459
Zfp683,0.0376359,1.60425
Rasal2,0.0388664,1.61903
,0.0291139,1.64138
Chit1,0.0497371,1.6452
,0.0422377,1.69486
,0.0422377,1.69486
,0.0144509,1.69693
,0.0404799,1.70545
Serpinb1a,0.00511772,1.70988
,0.0234716,1.73446
,0.0302075,1.75307
Chn2,0.0265706,1.7639
,0.0252852,1.77001
Traj51,0.0374912,1.78091
,0.0333639,1.80933
,0.0471855,1.81197
,0.0200688,1.81249
,0.00611016,1.81517
,0.0200975,1.86517
Trdj2,0.040723,1.88522
,0.0396026,1.90087
,0.00355454,1.91015
,0.0174373,1.96657
,0.0454846,1.99694
Clnk,0.00318345,2.02896
,0.0385267,2.03811
,0.0137837,2.06158
,0.020416,2.06199
,0.00508181,2.08262
Gm25993,0.0265645,2.11312
,0.0487341,2.15611
,0.0457482,2.16087
,0.00593506,2.23625
Ighv1-80,0.0392553,2.26365
Trdv1,0.0188241,2.31876
,0.000961324,2.3403
Klre1,0.00348991,2.387
Fgl2,0.000353429,2.4196
Tcrg-C3,0.0278755,2.45901
Rnf43,0.00108272,2.53125
Traj56,0.0143109,3.11427
Traj58,0.0330068,3.41013
Ighv4-1,0.00712155,3.44181
Traj54,0.00122797,3.64273
,0.0215941,4.33828
,0.0215941,4.33828
,0.0215941,4.33828
,0.0215941,4.33828
,0.0215941,4.33828
,0.0215941,4.33828
,0.0215941,4.33828
,0.0215941,4.33828
,0.0215941,4.33828
Trav15-1-dv6-1,0.000727763,4.45475
Mela,0.0283427,5.39643
