gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
"	Gm10036",491.9852132,5.507895057,0.332531105,16.56354842,1.28E-61,1.52E-57
"	Gm13225",427.2586456,6.277306588,0.404316018,15.525743,2.32E-54,1.38E-50
"	Klk1b9",137.9953398,5.748996252,0.484322071,11.87019257,1.69E-32,6.71E-29
"	Sell",996.0737284,3.887976073,0.33801218,11.50247329,1.28E-30,3.81E-27
"	P2rx7",157.7714763,3.933533277,0.356311248,11.03959894,2.46E-28,5.86E-25
"	Tnfrsf25",609.050579,3.572658517,0.324980632,10.99345057,4.11E-28,8.15E-25
"	Ccr2",6962.704707,-2.679762649,0.248249978,-10.79461382,3.65E-27,6.20E-24
"	Gzma",104339.1645,-2.597745854,0.247327602,-10.50325897,8.34E-26,1.24E-22
"	Maf",784.5419597,2.980132871,0.284145787,10.48804171,9.80E-26,1.30E-22
"	Trat1",412.3763119,4.20387375,0.402852029,10.43528006,1.71E-25,2.04E-22
"	Rgs10",420.3871945,2.923057927,0.281354058,10.38925101,2.78E-25,3.00E-22
"	Tcf7",3285.221274,3.044743011,0.295346056,10.30906948,6.41E-25,6.36E-22
"	Atp6v1g3",241.4130518,3.29881015,0.345382109,9.551190013,1.28E-21,1.17E-18
"	Smad3",811.9300723,1.660142109,0.174058888,9.537818646,1.46E-21,1.24E-18
"	Pdcd4",922.6172694,2.250109882,0.2426901,9.271535514,1.83E-20,1.46E-17
"	Asap1",923.642608,1.863034837,0.203955081,9.134535036,6.57E-20,4.88E-17
"	St6gal1",78.78888244,4.303381704,0.480332028,8.959181264,3.27E-19,2.29E-16
"	Gm14718",54.97451652,4.977469703,0.570552397,8.723948451,2.69E-18,1.78E-15
"	Nsg2",198.9583713,2.95046143,0.347016844,8.502357965,1.86E-17,1.16E-14
"	Ifit1bl1",1917.765519,2.163278899,0.25907614,8.34997347,6.83E-17,4.06E-14
"	Rabgap1l",1278.775005,1.211188734,0.145653113,8.315570537,9.13E-17,5.17E-14
"	Cxcr5",219.2061006,4.049085037,0.495234414,8.176097872,2.93E-16,1.59E-13
"	Runx1",877.3316998,2.176066091,0.266575109,8.163050544,3.27E-16,1.69E-13
"	Ncoa7",700.0513691,1.447154258,0.177418086,8.156745961,3.44E-16,1.71E-13
"	Clec12a",106.7165172,-4.12239234,0.5139062,-8.021682443,1.04E-15,4.96E-13
"	Ifi27l2a",31263.52019,1.735976619,0.217521916,7.98069754,1.46E-15,6.66E-13
"	Efhd2",1789.778978,-1.07379555,0.134964032,-7.95616085,1.77E-15,7.82E-13
"	1700027F09Rik",71.56268667,4.117910666,0.518795091,7.937451097,2.06E-15,8.60E-13
"	Fyb",1040.245223,1.421351446,0.179111751,7.935556642,2.10E-15,8.60E-13
"	Sla",5642.24039,1.193609154,0.150844904,7.912823873,2.52E-15,9.98E-13
"	Tnfsf8",525.7955321,2.331963558,0.302260376,7.715081895,1.21E-14,4.64E-12
"	Il6ra",63.94069218,3.67080394,0.481620507,7.621776666,2.50E-14,9.30E-12
"	Pdzk1ip1",133.8862051,2.665606724,0.351921854,7.574427939,3.61E-14,1.30E-11
"	Mgst2",3057.415163,1.931787372,0.257280305,7.508493023,5.98E-14,2.09E-11
"	Klk1b11",33.47162885,5.200973337,0.693539852,7.499170117,6.42E-14,2.18E-11
"	Lax1",1101.74576,1.12869873,0.150708509,7.489283352,6.93E-14,2.29E-11
