gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
"	Gm10036",491.9852132,4.462372006,0.328196588,13.59664352,4.19E-42,6.04E-38
"	Gm13225",427.2586456,5.915394492,0.455337168,12.99124014,1.37E-38,9.88E-35
"	P2rx7",157.7714763,5.00447712,0.488971065,10.23471014,1.39E-24,6.66E-21
"	Gm13157",540.8516043,-2.350171501,0.246967244,-9.516126368,1.80E-21,6.47E-18
"	Cd81",122.2014246,4.155554651,0.447636314,9.283327834,1.64E-20,4.73E-17
"	Dhrs3",70.22830238,4.050462413,0.490847267,8.25198119,1.56E-16,3.74E-13
"	Chst2",147.5230817,2.45755965,0.315410558,7.79162138,6.62E-15,1.36E-11
"	Itgad",212.5390343,2.191472069,0.285165678,7.684908248,1.53E-14,2.76E-11
"	Gm13154",144.1816208,3.179761013,0.45727777,6.953675031,3.56E-12,5.70E-09
"	Nr4a1",132.1688015,1.881242597,0.271172943,6.937427376,3.99E-12,5.75E-09
"	Klk1b27",71.2777866,4.289378471,0.630983995,6.797919606,1.06E-11,1.39E-08
"	Dennd2d",1418.598489,1.018167466,0.157481421,6.465317986,1.01E-10,1.21E-07
"	Il7r",1630.413365,-2.061087881,0.320509152,-6.430667787,1.27E-10,1.41E-07
"	Tcrg-C1",93.5978862,-3.319892374,0.520821259,-6.374341138,1.84E-10,1.89E-07
"	Cd22",77.39439936,3.220965765,0.506694117,6.35682487,2.06E-10,1.98E-07
"	Ccr2",6962.704707,-1.506905603,0.241206302,-6.247372443,4.17E-10,3.76E-07
"	Hsph1",2046.405144,-1.379077721,0.230226022,-5.990103595,2.10E-09,1.78E-06
"	Amica1",450.0452573,-2.331421682,0.39032777,-5.972984404,2.33E-09,1.84E-06
"	Pde8a",145.3810616,1.432124349,0.240038772,5.966220953,2.43E-09,1.84E-06
"	Tnfaip3",1849.04481,0.824851522,0.139870368,5.897257096,3.70E-09,2.56E-06
"	Top1mt",50.07530909,2.96713003,0.503257065,5.895853702,3.73E-09,2.56E-06
"	H2-Aa",217.8749031,2.68177892,0.469480058,5.712231805,1.12E-08,6.98E-06
"	Pld4",97.25059756,2.448111175,0.428087229,5.718720406,1.07E-08,6.98E-06
"	Asap1",923.642608,1.169398987,0.206464044,5.663935291,1.48E-08,8.52E-06
"	Klk1b9",137.9953398,3.371580502,0.594585742,5.670469818,1.42E-08,8.52E-06
"	Ckb",63.87195331,2.24201429,0.397703035,5.637408051,1.73E-08,9.21E-06
"	Phactr2",129.8017332,1.696841421,0.300825111,5.640624272,1.69E-08,9.21E-06
"	Cd55",382.2289673,-1.549579676,0.276740914,-5.599387715,2.15E-08,1.08E-05
"	Sell",996.0737284,2.103930205,0.375869277,5.59750513,2.17E-08,1.08E-05
"	C1qb",134.6223869,3.126787686,0.574768713,5.440079833,5.33E-08,2.56E-05
"	Slc40a1",65.22714408,3.47414764,0.64560285,5.381245822,7.40E-08,3.44E-05
"	Gm13251",71.6259678,1.860480483,0.34656058,5.368413463,7.94E-08,3.58E-05
"	Klhl6",974.1669354,-1.070887068,0.199782243,-5.360271521,8.31E-08,3.63E-05
"	Nsg2",198.9583713,2.765245975,0.517482274,5.343653524,9.11E-08,3.86E-05
"	Gm4208",79.7258896,-1.918582543,0.367153691,-5.225557014,1.74E-07,7.15E-05
"	Hrsp12",1941.757668,-0.672552869,0.129143595,-5.207791144,1.91E-07,7.65E-05
"	Tctn2",26.93214716,3.39801169,0.655197088,5.186243576,2.15E-07,8.35E-05
"	Ptk2b",1172.364664,1.57652704,0.305490242,5.16064615,2.46E-07,9.33E-05
"	Aim1l",46.99546631,1.926329571,0.373874498,5.152342785,2.57E-07,9.50E-05
"	Lyz2",247.8452047,3.163860385,0.625425532,5.058732369,4.22E-07,0.000151992
"	H2-Ob",231.3137623,2.100699223,0.426937758,4.920387535,8.64E-07,0.00029651
"	Spred2",138.3924618,1.853854495,0.376783711,4.920208699,8.65E-07,0.00029651
"	Ptpn6",1945.115138,-0.685396459,0.139871619,-4.900182499,9.57E-07,0.000320755
"	C1qc",96.96093303,2.670105317,0.567835873,4.702248386,2.57E-06,0.000842405
"	Perp",263.6907844,1.195298424,0.254621434,4.694413993,2.67E-06,0.000855888
"	Tspan3",1215.164695,1.167272818,0.25216583,4.628988862,3.67E-06,0.001150695
"	Pkp4",557.8153664,0.975413585,0.211006859,4.622662934,3.79E-06,0.00116112
"	Gtf2a1l",8.981679009,3.331735338,0.723690403,4.603813075,4.15E-06,0.0012195
"	Rgcc",524.5633698,-1.419206623,0.308252549,-4.604038568,4.14E-06,0.0012195
"	Cd40lg",336.1922875,1.871706577,0.407362891,4.594690922,4.33E-06,0.0012486
"	Wfikkn2",91.05520514,-1.547920418,0.339963099,-4.553201274,5.28E-06,0.001492349
"	Cirbp",429.5916359,0.8576883,0.190001902,4.514103761,6.36E-06,0.001728195
"	Spo11",79.88525903,1.406355472,0.311423618,4.515892156,6.31E-06,0.001728195
"	Maf",784.5419597,1.286100245,0.285325998,4.507476547,6.56E-06,0.001750026
"	H2-Ab1",119.2870779,2.531469053,0.566678208,4.467207345,7.92E-06,0.002075559
"	Slco3a1",772.1025219,-1.06820366,0.239572434,-4.458792032,8.24E-06,0.00212018
"	Rab32",88.6701143,1.60855324,0.361135022,4.45416019,8.42E-06,0.002128458
"	Swap70",251.2262575,-1.326081354,0.299797674,-4.423254309,9.72E-06,0.002414705
"	Tktl1",79.28581065,-1.799247565,0.407616399,-4.414070606,1.01E-05,0.002476802
"	Armc7",536.0731287,-0.78926234,0.18019662,-4.380006356,1.19E-05,0.002849209
"	Slc9a4",13.29118686,3.140302587,0.719312163,4.365702056,1.27E-05,0.002992346
