gs_name,gene_number
GSE132110_Tim3pos_vs_Tim3neg---Tim3neg,1094
GSE132110_Tim3pos_vs_Tim3neg---Tim3pos,1177
GSE68056_Blimp1KO---NA_vs_Il2raKO---Il2raKO,6
GSE68056_Blimp1KO---NA_vs_Il2raKO---NA,12
GSE68056_Il2raKO---NA_vs_Blimp1KO---Blimp1KO,14
GSE68056_Il2raKO---NA_vs_Blimp1KO---NA,12
GSE68056_WT_vs_Blimp1KO---Blimp1KO,34
GSE68056_WT_vs_Blimp1KO---WT,74
GSE68056_WT_vs_Il2raKO---Il2raKO,147
GSE68056_WT_vs_Il2raKO---WT,276
GSE68056_WT_vs_Tbx21KO---Tbx21KO,151
GSE68056_WT_vs_Tbx21KO---WT,206
GSE70813_Blimp1KO---NA_vs_HobitKO---HobitKO,14
GSE70813_Blimp1KO---NA_vs_HobitKO---NA,21
GSE70813_HobitKO---NA_vs_Blimp1KO---Blimp1KO,26
GSE70813_HobitKO---NA_vs_Blimp1KO---NA,7
GSE70813_LiverTEM_vs_LiverTRM---LiverTEM,147
GSE70813_LiverTEM_vs_LiverTRM---LiverTRM,165
GSE70813_SpTCM_vs_GutTRM---GutTRM,1262
GSE70813_SpTCM_vs_GutTRM---SpTCM,829
GSE70813_SpTCM_vs_LiverTEM---LiverTEM,26
GSE70813_SpTCM_vs_LiverTEM---SpTCM,170
GSE70813_SpTCM_vs_LiverTRM---LiverTRM,304
GSE70813_SpTCM_vs_LiverTRM---SpTCM,339
GSE70813_SpTCM_vs_SkinTRM---SkinTRM,2318
GSE70813_SpTCM_vs_SkinTRM---SpTCM,1533
GSE70813_SpTCM_vs_SpTEM---SpTCM,122
GSE70813_SpTCM_vs_SpTEM---SpTEM,94
GSE70813_SpTEM_vs_GutTRM---GutTRM,1433
GSE70813_SpTEM_vs_GutTRM---SpTEM,1158
GSE70813_SpTEM_vs_LiverTEM---LiverTEM,1
GSE70813_SpTEM_vs_LiverTEM---SpTEM,41
GSE70813_SpTEM_vs_LiverTRM---LiverTRM,286
GSE70813_SpTEM_vs_LiverTRM---SpTEM,420
GSE70813_SpTEM_vs_SkinTRM---SkinTRM,2258
GSE70813_SpTEM_vs_SkinTRM---SpTEM,1344
GSE70813_WT_vs_Blimp1KO---Blimp1KO,18
GSE70813_WT_vs_Blimp1KO---WT,1
GSE70813_WT_vs_HobitKO---HobitKO,18
GSE70813_WT_vs_HobitKO---WT,7
GSE72408_Klrg1hi_TbetOE---NA_vs_Zeb2KO---NA,2
GSE72408_Klrg1hi_Zeb2KO---NA_vs_TbetOE---NA,5
GSE72408_Klrg1hi_Zeb2KO---NA_vs_TbetOE---TbetOE,12
GSE72408_Klrg1hi---WT_vs_TbetOE---TbetOE,4
GSE72408_Klrg1hi---WT_vs_TbetOE---WT,1
GSE72408_Klrg1hi---WT_vs_Zeb2KO---WT,11
GSE72408_Klrg1hi---WT_vs_Zeb2KO---Zeb2KO,4
GSE72408_WT_vs_Tbx21KO---Tbx21KO,441
GSE72408_WT_vs_Tbx21KO---WT,56
GSE72408_WT_vs_Zeb2KO---WT,26
GSE72408_WT_vs_Zeb2KO---Zeb2KO,35
