SYMBOL,ENTREZID
1810011H11Rik,69069
2010111I01Rik,72061
Acoxl,74121
Actn2,11472
Adgrg1,14766
Aph1a,226548
Arnt2,11864
Asb2,65256
B3galt5,93961
Bcl2a1d,12047
Bhlhe40,20893
Camk2n1,66259
Ccl3,20302
Ccl4,20303
Ccl5,20304
Ccr5,12774
Ccr9,12769
Ccrl2,54199
Cd226,225825
Cd38,12494
Cd93,17064
Chn2,69993
Chst11,58250
Chst15,77590
Cish,12700
Ckb,12709
Coro2a,107684
Csf2,12981
Ctla2a,13024
Ctla4,12477
Ctnnbip1,67087
Cxcr6,80901
Dapk2,13143
Dennd5a,19347
Dkkl1,50722
Dusp6,67603
Egr1,13653
Eif4e3,66892
Entpd1,12495
Eomes,13813
F2r,14062
Fasl,14103
Fgl2,14190
Fosl2,14284
Frmd4b,232288
Furin,18550
Gcnt1,14537
Gem,14579
Glrx,93692
Gm16907,100504114
Gm26614,102635428
Gngt2,14710
Gpc1,14733
Gpr34,23890
Gzmb,14939
Gzmk,14945
Hbegf,15200
Hdac11,232232
Hic1,15248
Hip1,215114
Hivep3,16656
Icam1,15894
Il10ra,16154
Il12rb2,16162
Il2ra,16184
Irf4,16364
Isg15,100038882
Itga1,109700
Itih5,209378
Jaml,270152
Jdp2,81703
Kcnk5,16529
Kctd12,239217
Krt83,100126226
Lag3,16768
Lamc1,226519
Lilrb4a,14728
Lrrk1,233328
Lztfl1,93730
Mdfic,16543
Metrnl,210029
Mmp9,17395
Mvb12b,72543
Myo6,17920
Nedd4,17999
Nkg7,72310
Nr4a2,18227
Osgin1,71839
Padi2,18600
Pdcd1lg2,58205
Pik3ap1,83490
Plac8,231507
Plekhf1,72287
Plekhg3,263406
Plin2,11520
Plin2,101055843
Prdm1,12142
Rbpj,19664
Rcbtb2,105670
Rgs1,50778
Rhoc,11853
Rnf130,59044
Selenon,74777
Slamf1,27218
Slamf7,75345
Slc2a3,20527
Snx9,66616
St14,19143
Stau2,29819
Stk32c,57740
Ston2,108800
Susd2,71733
Tigit,100043314
Tnfrsf9,21942
Tnfsf10,22035
Trim36,28105
Vav3,57257
Xcl1,16963
Zfp683,100503878
