acc,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE_filetype_ss,DATASTORE_provider_ss,DATASTORE_region_ss,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,organ,Organism,Platform,ReleaseDate,sample_acc,Sample Name,sex,sorting_markers,source_name,SRA Study,stimulation,strain,tissue
SRR7643421,RNA-Seq,102,380113812,PRJNA484423,SAMN09765118,145785921,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506811,GSM3318768,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,380,139,Lung Airway,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS3627112,GSM3318768,female,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,airway resident CD8 memory T cells,SRP156329,35 days post Influenza X31 infection,C57BL/6J,airway resident CD8 memory T cells
SRR7643422,RNA-Seq,102,369219294,PRJNA484423,SAMN09765118,139753139,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506811,GSM3318768,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,369,133,Lung Airway,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS3627112,GSM3318768,female,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,airway resident CD8 memory T cells,SRP156329,35 days post Influenza X31 infection,C57BL/6J,airway resident CD8 memory T cells
SRR7643423,RNA-Seq,102,204184620,PRJNA484423,SAMN09765118,78710718,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506811,GSM3318768,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,204,75,Lung Airway,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS3627112,GSM3318768,female,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,airway resident CD8 memory T cells,SRP156329,35 days post Influenza X31 infection,C57BL/6J,airway resident CD8 memory T cells
SRR7643424,RNA-Seq,102,206411382,PRJNA484423,SAMN09765118,80071818,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506811,GSM3318768,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,206,76,Lung Airway,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS3627112,GSM3318768,female,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,airway resident CD8 memory T cells,SRP156329,35 days post Influenza X31 infection,C57BL/6J,airway resident CD8 memory T cells
SRR7643425,RNA-Seq,102,171745356,PRJNA484423,SAMN09765117,65613423,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506812,GSM3318769,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,171,62,Lung Airway,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS3627111,GSM3318769,female,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,airway resident CD8 memory T cells,SRP156329,35 days post Influenza X31 infection,C57BL/6J,airway resident CD8 memory T cells
SRR7643426,RNA-Seq,102,173416524,PRJNA484423,SAMN09765117,66641615,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506812,GSM3318769,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,173,63,Lung Airway,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS3627111,GSM3318769,female,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,airway resident CD8 memory T cells,SRP156329,35 days post Influenza X31 infection,C57BL/6J,airway resident CD8 memory T cells
SRR7643427,RNA-Seq,102,165296712,PRJNA484423,SAMN09765116,63076595,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506813,GSM3318770,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,165,60,Lung Airway,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS3627113,GSM3318770,female,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,airway resident CD8 memory T cells,SRP156329,35 days post Influenza X31 infection,C57BL/6J,airway resident CD8 memory T cells
SRR7643428,RNA-Seq,102,167297340,PRJNA484423,SAMN09765116,64210750,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506813,GSM3318770,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,167,61,Lung Airway,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS3627113,GSM3318770,female,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,airway resident CD8 memory T cells,SRP156329,35 days post Influenza X31 infection,C57BL/6J,airway resident CD8 memory T cells
SRR7643429,RNA-Seq,102,179944932,PRJNA484423,SAMN09765115,68832988,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506814,GSM3318771,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,179,65,Lung Parenchyma,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS3627114,GSM3318771,female,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,parenchyma resident CD8 memory T cells,SRP156329,35 days post Influenza X31 infection,C57BL/6J,parenchyma resident CD8 memory T cells
SRR7643430,RNA-Seq,102,181214322,PRJNA484423,SAMN09765115,69698095,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506814,GSM3318771,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,181,66,Lung Parenchyma,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS3627114,GSM3318771,female,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,parenchyma resident CD8 memory T cells,SRP156329,35 days post Influenza X31 infection,C57BL/6J,parenchyma resident CD8 memory T cells
