acc,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE_filetype_ss,DATASTORE_provider_ss,DATASTORE_region_ss,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,organ,Organism,Platform,ReleaseDate,sample_acc,Sample Name,sorting_markers,source_name,SRA Study,stimulation,strain
SRR9917176,RNA-Seq,149,1789612433,PRJNA559138,SAMN12523650,785115746,airway resident CD8 memory T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6666314,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1789,748,Lung Airway,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS5226119,GSM4013189,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,airway resident CD8 memory T cells,SRP217692,35 days post Influenza X31 infection,C57BL/6J
SRR9917177,RNA-Seq,149,2010634392,PRJNA559138,SAMN12523649,878123960,airway resident CD8 memory T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6666315,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2010,837,Lung Airway,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS5226120,GSM4013190,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,airway resident CD8 memory T cells,SRP217692,35 days post Influenza X31 infection,C57BL/6J
SRR9917178,RNA-Seq,149,1854417240,PRJNA559138,SAMN12523648,812843277,airway resident CD8 memory T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6666316,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1854,775,Lung Airway,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS5226121,GSM4013191,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,airway resident CD8 memory T cells,SRP217692,35 days post Influenza X31 infection,C57BL/6J
SRR9917179,RNA-Seq,149,1565805713,PRJNA559138,SAMN12523647,690318457,lung intersitium resident CD8 memory T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6666317,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1565,658,Lung,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS5226122,GSM4013192,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,lung intersitium resident CD8 memory T cells,SRP217692,35 days post Influenza X31 infection,C57BL/6J
SRR9917180,RNA-Seq,149,1812056281,PRJNA559138,SAMN12523646,796147321,lung intersitium resident CD8 memory T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6666318,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1812,759,Lung,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS5226123,GSM4013193,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,lung intersitium resident CD8 memory T cells,SRP217692,35 days post Influenza X31 infection,C57BL/6J
SRR9917181,RNA-Seq,149,1792767936,PRJNA559138,SAMN12523645,791305419,lung intersitium resident CD8 memory T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6666319,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1792,754,Lung,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS5226124,GSM4013194,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)-,lung intersitium resident CD8 memory T cells,SRP217692,35 days post Influenza X31 infection,C57BL/6J
SRR9917182,RNA-Seq,149,1645200794,PRJNA559138,SAMN12523644,719201901,lung vasculature CD8 memory T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6666320,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1645,685,Lung,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS5226125,GSM4013195,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)+,lung vasculature CD8 memory T cells,SRP217692,35 days post Influenza X31 infection,C57BL/6J
SRR9917183,RNA-Seq,149,1847993387,PRJNA559138,SAMN12523643,813189905,lung vasculature CD8 memory T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6666321,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1847,775,Lung,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS5226126,GSM4013196,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)+,lung vasculature CD8 memory T cells,SRP217692,35 days post Influenza X31 infection,C57BL/6J
SRR9917184,RNA-Seq,149,1830102981,PRJNA559138,SAMN12523665,800945813,lung vasculature CD8 memory T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6666322,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1830,763,Lung,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS5226127,GSM4013197,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)+,lung vasculature CD8 memory T cells,SRP217692,35 days post Influenza X31 infection,C57BL/6J
SRR9917185,RNA-Seq,149,1648725516,PRJNA559138,SAMN12523664,725759241,Spleen CD8 memory T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6666323,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1648,692,Spleen,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS5226128,GSM4013198,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)+/-,Spleen CD8 memory T cells,SRP217692,35 days post Influenza X31 infection,C57BL/6J
SRR9917186,RNA-Seq,149,1178308045,PRJNA559138,SAMN12523663,518559041,Spleen CD8 memory T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6666324,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1178,494,Spleen,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS5226129,GSM4013199,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)+/-,Spleen CD8 memory T cells,SRP217692,35 days post Influenza X31 infection,C57BL/6J
SRR9917187,RNA-Seq,149,1625473213,PRJNA559138,SAMN12523662,718905839,Spleen CD8 memory T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6666325,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1625,685,Spleen,Mus musculus,ILLUMINA,2020-01-09T00:00:00Z,SRS5226130,GSM4013200,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2(IV label)+/-,Spleen CD8 memory T cells,SRP217692,35 days post Influenza X31 infection,C57BL/6J
