Batch,Name,Celltype1,Celltype2,Species
2016_IMMUNITY_De_Simone,Th1_vs_Th17,Th1,Th17,Human
2016_IMMUNITY_De_Simone,Th1_vs_Treg,Th1,Treg,Human
2016_IMMUNITY_De_Simone,Th17_vs_Treg,Th17,Treg,Human
2017_CELL_REP_Kumar,CD4LungCD69pos_vs_CD4LungCD69neg,CD4_lung_Pos,CD4_lung_Neg,Human
2017_CELL_REP_Kumar,CD8LungCD69pos_vs_CD8LungCD69neg,CD8_lung_Pos,CD8_lung_Neg,Human
2017_CELL_REP_Kumar,CD4SpleenCD69pos_vs_CD4SpleenCD69neg,CD4_spleen_Pos,CD4_spleen_Neg,Human
2017_CELL_REP_Kumar,CD8SpleenCD69pos_vs_CD8SpleenCD69neg,CD8_spleen_Pos,CD8_spleen_Neg,Human
2017_NAT_Akondy,YFV-D14_vs_NAV,D14,NAV,Human
2017_NAT_Akondy,YFV-D14_vs_MEM,D14,MEM,Human
2017_NAT_Akondy,MEM_vs_NAV,MEM,NAV,Human
2019_EJI_Remmerswaal,DP_vs_EE,DP,EE,Human
2019_EJI_Remmerswaal,DP_vs_MP,DP,MP,Human
2019_EJI_Remmerswaal,DP_vs_TE,DP,TE,Human
2019_EJI_Remmerswaal,EE_vs_MP,EE,MP,Human
2019_EJI_Remmerswaal,EE_vs_TE,EE,TE,Human
2019_EJI_Remmerswaal,MP_vs_TE,MP,TE,Human
2019_NAT_IMMUNOL_Nakayama,LungTRreg_vs_LungTRM,LungTRreg,LungTRM,Mouse
2019_NAT_IMMUNOL_Nakayama,LungTRreg_vs_CirCD44hi,LungTRreg,Cir_CD44hi,Mouse
2019_NAT_IMMUNOL_Nakayama,LungTRreg_vs_CirCD44lo,LungTRreg,Cir_CD44lo,Mouse
2019_NAT_IMMUNOL_Nakayama,CirCD44lo_vs_CirCD44loFoxp3KO,Cir_CD44lo,Cir_CD44lo_Foxp3KO,Mouse
2019_NAT_IMMUNOL_Nakayama,LungTRreg_vs_LungTRregFoxp3KO,LungTRreg,LungTRreg_Foxp3KO,Mouse
2019_NAT_IMMUNOL_Nakayama,LungTRM_vs_LungTRMFoxp3KO,LungTRM,LungTRM_Foxp3KO,Mouse
2019_NAT_IMMUNOL_Nakayama,CirCD44hi_vs_CirCD44lo,Cir_CD44hi,Cir_CD44lo,Mouse
2019_NAT_IMMUNOL_Nakayama,LungTRM_vs_CirCD44hi,LungTRM,Cir_CD44hi,Mouse
2019_NAT_IMMUNOL_Nakayama,LungTRM_vs_CirCD44lo,LungTRM,Cir_CD44lo,Mouse
2020_NAT_IMMUNOL_Hayward_GSE118111,AirwayTRM_vs_SpleenTCM,Airway_Trm,Spleen_Tcm,Mouse
2020_NAT_IMMUNOL_Hayward_GSE118111,AirwayTRM_vs_ParenchymaTRM,Airway_Trm,Parenchyma_Trm,Mouse
2020_NAT_IMMUNOL_Hayward_GSE118111,ParenchymaTRM_vs_SpleenTCM,Parenchyma_Trm,Spleen_Tcm,Mouse
2020_NAT_IMMUNOL_Hayward_GSE135504,AirwayTRM_vs_SpleenTCM,Airway_Trm,Spleen_Tcm,Mouse
2020_NAT_IMMUNOL_Hayward_GSE135504,LungIntersitiumTRM_vs_SpleenTCM,Lung_intersitium_Trm,Spleen_Tcm,Mouse
2020_NAT_IMMUNOL_Hayward_GSE135504,LungVasculatureTRM_vs_SpleenTCM,Lung_vasculature_Trm,Spleen_Tcm,Mouse
2020_NAT_IMMUNOL_Hayward_GSE135504,AirwayTRM_vs_LungIntersitiumTRM,Airway_Trm,Lung_intersitium_Trm,Mouse
2020_NAT_IMMUNOL_Hayward_GSE135504,AirwayTRM_vs_LungVasculatureTRM,Airway_Trm,Lung_vasculature_Trm,Mouse
2020_NAT_IMMUNOL_Hayward_GSE135504,LungIntersitiumTRM_vs_LungVasculatureTRM,Lung_intersitium_Trm,Lung_vasculature_Trm,Mouse
