acc,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE_filetype_ss,DATASTORE_provider_ss,DATASTORE_region_ss,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,organ,Organism,Platform,pre-transfer_matched_sample,ReleaseDate,sample_acc,Sample Name,sorting_markers,source_name,SRA Study,stimulation
SRR10108577,RNA-Seq,149,1996078703,PRJNA565249,SAMN12739259,875509246,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840475,GSM4077713,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1996,834,Peritoneum,Mus musculus,ILLUMINA,SPL_PreTransfer_rep1,2020-01-09T00:00:00Z,SRS5380809,GSM4077713,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells transferred into the peritoneum of congenic mice,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108579,RNA-Seq,149,1950550065,PRJNA565249,SAMN12739257,858479184,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840477,GSM4077715,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1950,818,Peritoneum,Mus musculus,ILLUMINA,SPL_PreTransfer_rep1,2020-01-09T00:00:00Z,SRS5380811,GSM4077715,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells transferred into the peritoneum of congenic mice,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108580,RNA-Seq,149,1803079333,PRJNA565249,SAMN12739256,789586676,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840478,GSM4077716,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1803,753,Peritoneum,Mus musculus,ILLUMINA,SPL_PreTransfer_rep2,2020-01-09T00:00:00Z,SRS5380812,GSM4077716,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells transferred into the peritoneum of congenic mice,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108581,RNA-Seq,149,1502744553,PRJNA565249,SAMN12739255,656882849,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840479,GSM4077717,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1502,626,Lung Airway,Mus musculus,ILLUMINA,SPL_PreTransfer_rep1,2020-01-09T00:00:00Z,SRS5380813,GSM4077717,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells transferred into the airways of congenic mice,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108582,RNA-Seq,149,2110351376,PRJNA565249,SAMN12739254,921075862,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840480,GSM4077718,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2110,878,Lung Airway,Mus musculus,ILLUMINA,SPL_PreTransfer_rep2,2020-01-09T00:00:00Z,SRS5380814,GSM4077718,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells transferred into the airways of congenic mice,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108583,RNA-Seq,149,1816603143,PRJNA565249,SAMN12739253,796925186,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840481,GSM4077719,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1816,760,Lung Airway,Mus musculus,ILLUMINA,SPL_PreTransfer_rep1,2020-01-09T00:00:00Z,SRS5380815,GSM4077719,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells transferred into the airways of congenic mice,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108584,RNA-Seq,149,1741245336,PRJNA565249,SAMN12739252,767736271,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840482,GSM4077720,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1741,732,Lung Airway,Mus musculus,ILLUMINA,SPL_PreTransfer_rep2,2020-01-09T00:00:00Z,SRS5380816,GSM4077720,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells transferred into the airways of congenic mice,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108585,RNA-Seq,149,1895738865,PRJNA565249,SAMN12739251,832535862,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840483,GSM4077721,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1895,793,Lung Airway,Mus musculus,ILLUMINA,SPL_PreTransfer_rep3,2020-01-09T00:00:00Z,SRS5380817,GSM4077721,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells transferred into the airways of congenic mice during acute Sendai infection,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108586,RNA-Seq,149,1757467577,PRJNA565249,SAMN12739250,780124410,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840484,GSM4077722,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1757,743,Lung Airway,Mus musculus,ILLUMINA,SPL_PreTransfer_rep3,2020-01-09T00:00:00Z,SRS5380818,GSM4077722,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells transferred into the airways of congenic mice during acute Sendai infection,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108587,RNA-Seq,149,1866680351,PRJNA565249,SAMN12739248,821960138,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840485,GSM4077723,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1866,783,Lung Airway,Mus musculus,ILLUMINA,SPL_PreTransfer_rep3,2020-01-09T00:00:00Z,SRS5380819,GSM4077723,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells transferred into the airways of congenic mice during acute Sendai infection,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
