Number,Date,#,Description,Degradation,WT-KO,condition
11,3/28/17,1442,WT2-Day5-EEC,No,WT,D5EE
12,3/28/17,1442,WT2-Day5-SLEC,No,WT,D5TE
13,3/28/17,1413,KO2-Day5-EEC,No,KO,D5EE
14,3/28/17,1413,KO2-Day5-SLEC,No,KO,D5TE
15,3/28/17,1443,WT3-Day5-EEC,No,WT,D5EE
16,3/28/17,1443,WT3-Day5-SLEC,Severe degradation,WT,D5TE
17,3/28/17,1414,KO3-Day5-EEC,No,KO,D5EE
18,3/28/17,1414,KO3-Day5-SLEC,No,KO,D6TE
19,3/31/17,1442,WT2-Day8-EEC,No,WT,D8EE
20,3/31/17,1442,WT2-Day8-SLEC,No,WT,D8TE
21,3/31/17,1442,WT2-Day8-MPEC,No,WT,D8MP
22,3/31/17,1413,KO2-Day8-EEC,Partial degradation,KO,D8EE
23,3/31/17,1413,KO2-Day8-SLEC,Partial degradation,KO,D8TE
24,3/31/17,1413,KO2-Day8-MPEC,No,KO,D8MP
25,3/31/17,1443,WT3-Day8-EEC,No,WT,D8EE
26,3/31/17,1443,WT3-Day8-SLEC,No,WT,D8TE
27,3/31/17,1443,WT3-Day8-MPEC,No,WT,D8MP
28,3/31/17,1414,KO3-Day8-EEC,No,KO,D8EE
29,3/31/17,1414,KO3-Day8-SLEC,No,KO,D8TE
30,3/31/17,1414,KO3-Day8-MPEC,No,KO,D8MP
