gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
HSPA6,-7.822230282,10.41149258,-6.758044076,6.20E-10,7.63E-06,12.11952867
CEBPD,-4.822211395,5.179728888,-6.160414765,1.12E-08,6.86E-05,9.466988989
OLR1,-4.980037257,3.70066594,-5.582042896,1.63E-07,0.000430337,7.01193312
G0S2,-4.333911082,4.096738284,-5.531218343,2.04E-07,0.000430337,6.802271776
TYROBP,-4.420380675,4.628451656,-5.507266455,2.28E-07,0.000430337,6.703830867
CSF1R,-4.966124429,3.708042755,-5.505390908,2.29E-07,0.000430337,6.696132436
CD1E,-2.838623677,2.077686837,-5.482814853,2.54E-07,0.000430337,6.603580159
APOL4,-3.319036089,2.332215866,-5.460988691,2.80E-07,0.000430337,6.514303439
LPL,-4.233251669,2.995319968,-5.395211651,3.75E-07,0.000512625,6.246462911
MS4A7,-4.289315029,3.895304901,-5.311463086,5.43E-07,0.00066792,5.908121712
CD300LF,-3.027187442,2.587911537,-5.186249083,9.39E-07,0.001049546,5.40801635
CYP27A1,-4.836487509,3.789705417,-5.15322054,1.08E-06,0.001072165,5.277277717
GAS2L1,-2.360710888,2.388043816,-5.113113216,1.29E-06,0.001072165,5.11919259
APOC1,-3.080082525,2.89661246,-5.109993752,1.31E-06,0.001072165,5.106928264
NUPR1,-4.054219636,3.499911015,-5.089524599,1.43E-06,0.001072165,5.026565204
PLXDC2,-3.845024068,3.137975913,-5.088955563,1.43E-06,0.001072165,5.024333933
FABP4,-4.708700357,3.530317441,-5.044075919,1.73E-06,0.001072165,4.8488333
FGR,-4.672442275,4.413739856,-5.041881394,1.75E-06,0.001072165,4.840276043
GPNMB,-5.18647012,4.5284953,-5.041649537,1.75E-06,0.001072165,4.839372079
DNAJB1,-3.062604189,13.32109978,-5.031423638,1.83E-06,0.001072165,4.7995288
HSPB1,-3.30238103,6.953247597,-5.031096874,1.83E-06,0.001072165,4.798256445
ITGAX,-2.664218757,2.842442334,-4.962020484,2.46E-06,0.001362081,4.530433749
FN1,-4.906182728,3.38030222,-4.953360607,2.55E-06,0.001362081,4.49701999
COL8A2,-1.476641657,1.827676743,-4.927569697,2.84E-06,0.001455551,4.397723129
FPR1,-4.027256476,3.849090205,-4.889405067,3.34E-06,0.001640739,4.251384638
SLC11A1,-4.461506698,4.181297658,-4.86337693,3.72E-06,0.001720455,4.151995117
FCGR2A,-4.335052865,4.312217111,-4.859719252,3.78E-06,0.001720455,4.138055118
HLA-DRB5,-3.535729136,6.14285296,-4.8186995,4.48E-06,0.001896946,3.982180731
S100A11,-2.519460031,6.934888095,-4.815172139,4.55E-06,0.001896946,3.968816302
ST3GAL6,-2.289470095,2.259793509,-4.81104365,4.63E-06,0.001896946,3.953182303
SPIRE2,-3.343099021,3.72966832,-4.787115903,5.11E-06,0.001998661,3.862741252
CCL20,-3.747789338,4.749396198,-4.782914255,5.20E-06,0.001998661,3.84689005
PDGFC,-1.811568849,1.962104863,-4.768114469,5.53E-06,0.002060563,3.791127799
APOE,-5.637348099,5.957293323,-4.739352684,6.23E-06,0.002252139,3.683080501
ST14,-3.912939583,3.392092989,-4.728175858,6.52E-06,0.002290855,3.641208119
B3GNT5,-3.382642694,3.299708607,-4.700193516,7.31E-06,0.002498558,3.536659719
SERPING1,-4.511179912,3.913908849,-4.664918743,8.45E-06,0.002777122,3.405446132
FCER1G,-3.957168565,5.12354515,-4.661136719,8.58E-06,0.002777122,3.391416605
AOAH,-2.826305941,5.950579711,-4.629794179,9.75E-06,0.00307427,3.27544065
LGALS3,-2.968283933,5.997293777,-4.611287098,1.05E-05,0.00318863,3.207203621
SORT1,-3.103963055,2.70700393,-4.608469745,1.06E-05,0.00318863,3.196831803
CD33,-2.601936214,2.594834756,-4.593294892,1.13E-05,0.003309923,3.141039834
SRSF5,1.520137991,10.11772011,4.574602577,1.22E-05,0.003441694,3.072484942
LPCAT2,-2.419846557,2.228866579,-4.569569479,1.24E-05,0.003441694,3.05405789
ZNF385A,-2.196624382,2.377059403,-4.566533926,1.26E-05,0.003441694,3.042950791
RAB31,-3.69271956,3.935045344,-4.546187122,1.37E-05,0.003470482,2.96863009
RTN1,-2.600378538,2.309558591,-4.538426832,1.41E-05,0.003470482,2.940343093
MCEMP1,-3.157715473,2.866472972,-4.538013526,1.41E-05,0.003470482,2.938837471
SLC8A1,-2.156567598,2.083840504,-4.536716427,1.42E-05,0.003470482,2.934112895
DSC2,-2.359291769,2.19715391,-4.533214615,1.44E-05,0.003470482,2.921362404
FCGR3A,-4.414298089,5.199353325,-4.529722039,1.46E-05,0.003470482,2.908652177
C5AR1,-3.515167661,3.640772626,-4.528490241,1.47E-05,0.003470482,2.904170984
FAM153A,1.691910022,2.398301267,4.508893968,1.59E-05,0.003682905,2.832992297
