SYMBOL,ENTREZID
1700028N14Rik,73280
1810014B01Rik,66263
4930524O07Rik,406209
4930594C11Rik,77633
4930599N23Rik,75379
4933426K07Rik,71154
5033430I15Rik,76000
5330406M23Rik,76671
5430416N02Rik,100503199
5430427O19Rik,71398
5830444F18Rik,320804
A630072M18Rik,320770
A630081D01Rik,98754
Abcb4,18670
Abcb9,56325
Abt1,30946
Adamdec1,58860
Aff1,17355
Aff4,93736
Ang4,219033
Antxr2,71914
Aqp4,11829
Arap2,212285
Arf4,11843
Arhgap10,78514
Arhgef38,77669
Arhgef39,230098
Astl,215095
Atg101,68118
AU020206,100504230
Aurkb,20877
Baiap2,108100
Bcl2a1b,12045
Bcl6,12053
Bex3,12070
Birc3,11796
Blm,12144
Blnk,17060
Btg3,12228
C030005K06Rik,78695
C230096K16Rik,414098
Calca,12310
Carnmt1,67383
Ccdc117,104479
Ccl9,20308
Cd274,60533
Cdca3,14793
Cel,12613
Cenpe,229841
Cenpl,70454
Cep57l1,103268
Chchd2,14004
Chd7,320790
Chrne,11448
Cipc,217732
Cir1,66935
Ckap2l,70466
Clta,12757
Coprs,66423
Cops4,26891
Cpa1,109697
Crbn,58799
Ctrb1,66473
Cwc25,67480
Cytip,227929
D030056L22Rik,225995
D430013B06Rik,399594
D730045B01Rik,77867
D8Ertd738e,101966
Ddit3,13198
Defa-ps1,727720
Defa17,23855
Defa2,100294660
Defa21,66298
Defa22,382059
Defa26,626708
Defa29,13218
Defa3,13237
Defa33,100505096
Dhx40,67487
Dnaja1,15502
Dnaja4,58233
Dnajb1,81489
Dnajb6,23950
Dot1l,208266
Dusp10,63953
Dusp14,56405
E430021H15Rik,320620
Ect2,13605
Edem1,192193
Eldr,72735
Elmsan1,238317
Emd,13726
Enpp1,18605
Eprs,107508
Ereg,13874
Ern1,78943
Ern2,26918
Etv3,27049
Evi2a,14017
Fam122a,68034
Fbxo34,78938
Fgfbp1,14181
Fnip1,216742
Fosb,14282
Fosl1,14283
Foxm1,14235
Foxn3,71375
Gabarapl2,93739
Gbp10,626578
Gbp3,55932
Gcg,14526
Gch1,14528
Gjb3,14620
Gla,11605
Glmn,170823
Gm10382,639281
Gm11545,217122
Gm12341,102632956
Gm12397,100039668
Gm12739,100040110
Gm13063,666480
Gm13070,105247219
Gm15232,627268
Gm15283,102637576
Gm15292,100041787
Gm15293,100041759
Gm15472,100503170
Gm15511,102642202
Gm15590,100270751
Gm16201,100503791
Gm19585,100503190
Gm29480,102640163
Gm43305,108168162
Gm4707,100043879
Gm4956,241041
Gm5106,330031
Gm6506,624454
Gm6913,628768
Gm7019,629936
Gm7367,664849
Gm7496,100416888
Gm8696,667548
Gna13,14674
Gnas,14683
Gpr132,56696
Gramd3,107022
Grem1,23892
Grtp1,66790
Gtf2b,229906
Gypc,71683
Gzmc,14940
H2afy,26914
H3f3b,15081
H60b,667281
Hccs,15159
Herpud1,64209
Hif1a,15251
Hist1h1d,14957
Hist1h4n,319161
Hmgb2,97165
Hnrnpa3,229279
Hopx,74318
Hsp90aa1,15519
Hspa1b,15511
Hspa4l,18415
Hspa5,14828
Hspa8,15481
Hspd1,15510
Hspe1,15528
Hsph1,15505
Ifi214,545384
Ifrd1,15982
Ighv3-8,780831
Ighv5-16,633568
Igkv1-110,381777
Igkv1-117,16098
Igkv3-7,108005
Igkv6-15,108022
Iglc1,110785
Iglc3,110787
Iglv1,16142
Il2,16183
Insm1,53626
Iqgap3,404710
Isca1,69046
Itga2,16398
Itpkb,320404
Itpkc,233011
Jak2,16452
Jund,16478
Kdm6b,216850
Kif23,71819
Klf6,23849
Knl1,76464
Kpna1,16646
Lmnb1,16906
Lmtk3,381983
Lncpint,232685
Lonrf1,244421
Lpxn,107321
Lrrc8d,231549
Mapkapk2,17164
Mcpt1,17224
Melk,17279
Mex3c,240396
Mkrn2,67027
Morf4l2,56397
Mptx2,100504232
Muc6,353328
Mvk,17855
Ncapg,54392
Ndel1,83431
Nek2,18005
Nfe2l2,18024
Nfkb2,18034
Nfkbib,18036
Nfkbiz,80859
Nkx2-3,18089
Nmrk1,225994
Nr1d2,353187
Nrip1,268903
Nup98,269966
Olfm4,380924
Pde3b,18576
Pde4b,18578
Per1,18626
Pgc,109820
Pgm2l1,70974
Phf19,74016
Pim1,18712
Pim3,223775
Pitx2,18741
Pkp1,18772
Pkp4,227937
Pla2g1b,18778
Pla2g2a,18780
Plaur,18793
Plch2,269615
Pmaip1,58801
Pnlip,69060
Pnliprp2,18947
Pnma1,70481
Pnrc1,108767
Ppp1r16b,228852
Ptpn22,19260
Pxn,19303
Rab20,19332
Rab26os,75614
Rab43,69834
Racgap1,26934
Rasgrp4,233046
Relb,19698
Ric1,226089
Riok1,71340
Rnf125,67664
Rora,19883
Rpl17,319195
Rpl21,19933
Rpl31-ps11,668409
Rps19-ps6,100503302
Rps23,66475
Rps27a-ps2,619900
Rundc3b,242819
Sat1,20229
Scrt1,170729
Selenok,80795
Serinc1,56442
Sh2d2a,27371
Shcbp1,20419
Sla,20491
Slbp,20492
Slc24a1,214111
Slc41a1,98396
Slc5a3,53881
Slk,20874
Smim6,68528
Socs3,12702
Spag4,245865
Spag5,54141
Spink13,100038417
Sqstm1,18412
Srfbp1,67222
Srgn,19073
Srrd,70118
St3gal3,20441
Stat3,20848
Sub1,20024
Suco,226551
Syce2,71846
Syde2,214804
Tac1,21333
Taf5,226182
Tagap,72536
Tff2,21785
Tgif2,228839
Ticrr,77011
Tlcd1,68385
Tmem171,380863
Tmem256,69186
Tmem29,382245
Tmem50b,77975
Tmem97,69071
Traf4,22032
Try4,22074
Ubald2,319370
Ubb,22187
Ubc,22190
Ube2e3,22193
Ube2j2,140499
Ubl3,24109
Uqcr10,66152
Uqcrq,22272
Usmg5,66477
Vamp4,53330
Vcpkmt,207965
Zbtb21,114565
Zbtb25,109929
Zc3h12a,230738
Zfp36l1,12192
Zfp36l2,12193
Zxdb,668166
