SYMBOL,ENTREZID
0610009B22Rik,66050
1190002N15Rik,68861
1500015O10Rik,78896
2300002M23Rik,69542
2510009E07Rik,72190
2810025M15Rik,69953
4833423E24Rik,228151
5031439G07Rik,223739
6030419C18Rik,319477
6430548M08Rik,234797
8430408G22Rik,213393
A2m,232345
A2ml1,232400
A4galt,239559
Aard,239435
Abca1,11303
Abca6,76184
Abca8a,217258
Abca9,217262
Abcc9,20928
Abi3bp,320712
Acadsb,66885
Ackr1,13349
Ackr3,12778
Acod1,16365
Acp1,11431
Acpp,56318
Acvr1,11477
Acvr2a,11480
Acvrl1,11482
Acyp2,75572
Adam12,11489
Adam9,11502
Adamts12,239337
Adamts15,235130
Adamts2,216725
Adamts4,240913
Adamts5,23794
Adamts9,101401
Adamtsl1,77739
Adcy4,104110
Adcy5,224129
Add2,11519
Adgra2,78560
Adgrf5,224792
Adgrg3,54672
Adgrl2,99633
Adgrl3,319387
Adgrl4,170757
Adm,11535
Aebp1,11568
Afap1l1,106877
Agt,11606
Agtr1a,11607
Ahnak2,100041194
Ajuba,16475
Ak1,11636
Ak7,78801
Akap12,83397
Akr1cl,70861
Akr1e1,56043
Alas2,11656
Alcam,11658
Aldh1a2,19378
Aldh6a1,104776
Alox12e,11685
Alox15,11687
Alox5ap,11690
Alpl,11647
Amigo2,105827
Amotl1,75723
Anapc13,69010
Angptl2,26360
Angptl7,654812
Ankrd29,225187
Ankrd33b,67434
Ano1,101772
Antxr1,69538
Anxa1,16952
Anxa3,11745
Anxa5,11747
Anxa8,11752
Aoc3,11754
Ap3b2,11775
Apba1,319924
Apbb2,11787
Apcdd1,494504
Aplnr,23796
Apod,11815
Apoe,11816
Aqp5,11830
Arap3,106952
Arf2,11841
Arg1,11846
Arhgap23,58996
Arhgap28,268970
Arhgap29,214137
Arhgap6,11856
Arhgef10l,72754
Arhgef15,442801
Arhgef17,207212
Arhgef25,52666
Arhgef40,268739
Arl1,104303
Arl3,56350
Armcx4,100503043
Arsb,11881
Arsj,271970
Asah1,11886
Asb4,65255
Asns,27053
Asph,65973
Aspn,66695
Atf5,107503
Atoh8,71093
Atp1a2,98660
Atp1b2,11932
Atp2b2,11941
Atp2c2,69047
Atp6v0a4,140494
Atp6v0e2,76252
Atp6v1a,11964
AU021092,239691
B230118H07Rik,68170
B9d1,27078
Bace2,56175
Bambi,68010
Basp1,70350
BC048679,210321
Bcam,57278
Bcat1,12035
Bcl6b,12029
Bcl9,77578
Bdkrb2,12062
Bend5,67621
Bex4,406217
Bicc1,83675
Birc5,11799
Blvrb,233016
Bmp4,12159
Bmpr1b,12167
Bmpr2,12168
Bnc2,242509
Bnip3,12176
Boc,117606
Bsg,12215
Bst2,69550
Btbd3,228662
Btnl9,237754
C1qa,12259
C1qc,12262
C1qtnf1,56745
C1qtnf2,69183
C1qtnf3,81799
C1qtnf6,72709
C1ra,50909
C1s1,50908
C2,12263
C2cd4a,244911
C430049B03Rik,72575
C4b,12268
C630043F03Rik,68285
Cacna2d1,12293
Cacnb3,12297
Cadm1,54725
Calb1,12307
Cald1,109624
Calu,12321
Capg,12332
Capn5,12337
Capsl,75568
Car12,76459
Car5b,56078
Carhsp1,52502
Carmn,328968
Casc4,319996
Casp12,12364
Cav1,12389
Cav2,12390
Cbfa2t3,12398
Cbr2,12409
Cbr3,109857
Cbs,12411
Cc2d2a,231214
Ccdc102a,234582
Ccdc149,100503884
Ccdc153,270150
Ccdc3,74186
Ccdc8,434130
Ccdc80,67896
Ccdc88a,108686
Ccl11,20292
Ccl2,20296
Ccl7,20306
Ccl8,20307
Ccnb1,268697
Ccnd1,12443
Ccr2,12772
Cd109,235505
Cd14,12475
Cd151,12476
Cd200,17470
Cd248,70445
Cd276,102657
Cd34,12490
Cd59a,12509
Cd74,16149
Cd83,12522
Cd99l2,171486
Cdc42bpa,226751
Cdca7,66953
Cdh11,12552
Cdh13,12554
Cdh3,12560
Cdh5,12562
Cdk14,18647
Cdkl1,71091
Cdkn1c,12577
Cdo1,12583
Cdr2l,237988
Cebpd,12609
Celsr2,53883
Cep85l,100038725
Ces1d,104158
Cfap126,75472
Cfap206,69329
Cfi,12630
Cgnl1,68178
Chst8,68947
Cilp,214425
Ckap4,216197
Clca3a1,12722
Clcn5,12728
Cldn1,12737
Cldn10,58187
Cldn12,64945
Cldn5,12741
Cldn8,54420
Clec14a,66864
Clec3b,21922
Clec7a,56644
Clip3,76686
Clmp,71566
Clu,12759
Cmklr1,14747
Cmtm3,68119
Cmtm8,70031
Cnn1,12797
Cntln,338349
Coch,12810
Col11a1,12814
Col12a1,12816
Col14a1,12818
Col15a1,12819
Col16a1,107581
Col18a1,12822
Col4a5,12830
Col5a1,12831
