SYMBOL,ENTREZID
0610040J01Rik,76261
1810011H11Rik,69069
1810011O10Rik,69068
2010111I01Rik,72061
2010300C02Rik,72097
2310030G06Rik,66952
2610528J11Rik,66451
2900026A02Rik,243219
5730559C18Rik,67313
7330423F06Rik,78146
9130208D14Rik,77700
AA467197,433470
Abat,268860
Abcg2,26357
Ace,11421
Acoxl,74121
Actn2,11472
Adcy6,11512
Adgrg1,14766
Adgrg7,239853
Adh1,11522
Adora2a,11540
Afdn,17356
Agap1,347722
Agr2,23795
Ahr,11622
AI661453,224833
Akr1c14,105387
Akr1c19,432720
Aldh1a1,11668
Aldh1b1,72535
Aldh1l1,107747
Aldh2,11669
Aldh7a1,110695
Amot,27494
Amotl2,56332
Anpep,16790
Anxa4,11746
Aoc1,76507
Ap1m2,11768
Aph1a,226548
Aplp2,11804
Apol9b,71898
Aqp1,11826
Areg,11839
Arfgap3,66251
Arhgap32,330914
Arhgef12,69632
Arhgef5,54324
Arnt2,11864
Arrdc3,105171
Arrdc4,66412
Asb2,65256
Atf3,11910
Atl2,56298
Atp10b,319767
Atp1b1,11931
Atp2b4,381290
Atp8b1,54670
Atpif1,11983
Atrnl1,226255
B130021K23Rik,319672
B3galt5,93961
B4galt6,56386
Baiap2l1,66898
Bcar1,12927
Bcar3,29815
Bche,12038
Bcl2a1d,12047
Bcl2l1,12048
Bhlhe40,20893
Bmp3,110075
Bok,51800
Btg2,12227
C130074G19Rik,226777
C430019N01Rik,402751
C77080,97130
Cables1,63955
Cadps2,320405
Calml4,75600
Camk2n1,66259
Camsap3,69697
Car13,71934
Car2,12349
Carmil1,68732
Cask,12361
Casp3,12367
Cblc,80794
Ccl1,20290
Ccl3,20302
Ccl4,20303
Ccl5,20304
Ccl6,20305
Ccr5,12774
Ccr9,12769
Ccrl2,54199
Cd226,225825
Cd24a,12484
Cd38,12494
Cd63,12512
Cd81,12520
Cd93,17064
Cdc42bpb,217866
Cdc42ep4,56699
Cdcp1,109332
Cdh1,12550
Cdkn1a,12575
Cds1,74596
Ceacam1,26365
Cep170b,217882
Cerk,223753
Cftr,12638
Cgn,70737
Chaf1a,27221
Chchd10,103172
Chdh,218865
Chn2,69993
Chp2,70261
Chst11,58250
Chst15,77590
Cish,12700
Ckb,12709
Ckmt1,12716
Clca1,23844
Cldn2,12738
Cldn23,71908
Cldn3,12739
Cldn4,12740
Cldn7,53624
Clic4,29876
Clic5,224796
Clic6,209195
Clmn,94040
Cmbl,69574
Cobl,12808
Coq10b,67876
Coro2a,107684
Cpd,12874
Crem,12916
Csf2,12981
Csrnp1,215418
Csrp2,13008
Cstb,13014
Ctbp2,13017
Ctif,269037
Ctla2a,13024
Ctla2b,13025
Ctla4,12477
Ctnna1,12385
Ctnnbip1,67087
Ctnnd1,12388
Ctsh,13036
Ctsl,13039
Cttn,13043
Cxadr,13052
Cxcr6,80901
Cyp2j6,13110
Cyr61,16007
Cystm1,66060
Dab2ip,69601
Dapk2,13143
Dennd4a,102442
Dennd5a,19347
Deptor,97998
Dgat2,67800
Dgcr6,13353
Dkkl1,50722
Dnm1,13429
Dock1,330662
Dock7,67299
Dpep1,13479
Dpyd,99586
Dsc2,13506
Dsg2,13511
Dsp,109620
Dstn,56431
Dtx4,207521
Dusp1,19252
Dusp16,70686
Dusp4,319520
Dusp5,240672
Dusp6,67603
Efna1,13636
Efnb1,13641
Efnb2,13642
Egr1,13653
Egr2,13654
Ehd1,13660
Ehf,13661
Eif4e3,66892
Elf3,13710
Ell2,192657
Emid1,140703
Enpep,13809
Entpd1,12495
Eomes,13813
Epb41l4b,54357
Epcam,17075
Epha2,13836
Ephb4,13846
Ephx2,13850
Eps8,13860
Eps8l2,98845
Erbb2,13866
Erbb3,13867
Errfi1,74155
Esrp1,207920
Etl4,208618
Ets2,23872
Evpl,14027
Exph5,320051
F11r,16456
F2r,14062
Fads2,56473
Fam110c,104943
Fam135a,68187
Fam171a1,269233
Fam213a,70564
Fam83h,105732
Fam84a,105005
Fasl,14103
Fat1,14107
Fblim1,74202
Fbln1,14114
Fcgbp,215384
Fcrls,80891
Fermt1,241639
Fgd4,224014
Fgl2,14190
Fhl2,14200
Fmn1,14260
Fnbp1l,214459
Fos,14281
Fosl2,14284
Foxq1,15220
Frmd4b,232288
Furin,18550
Fzd5,14367
Gabarapl1,57436
Gadd45a,13197
Gadd45b,17873
Gadd45g,23882
Gas2l3,237436
Gas6,14456
Gata4,14463
Gata6,14465
Gcnt1,14537
Gcnt2,14538
Gda,14544
Gdpd1,66569
Gem,14579
Gjb1,14618
Glrx,93692
Gm16907,100504114
Gm20743,433374
Gm26614,102635428
Gm3054,100040941
Gm3336,100502950
Gm6776,627624
Gmds,218138
Gng12,14701
Gngt2,14710
Got1,14718
Gpa33,59290
Gpc1,14733
Gpc4,14735
Gpr171,229323
Gpr34,23890
Gpx2,14776
Grb7,14786
Gsdmc4,74548
Gsn,227753
Gstm1,14862
Gstm2,14863
Gstm5,14866
Gsto1,14873
Gstt1,14871
Gucy2c,14917
Gzmb,14939
Gzmk,14945
H1f0,14958
H1fx,243529
H2-Ab1,14961
Havcr2,171285
Hbegf,15200
Hdac11,232232
Heph,15203
Hes1,15205
Hic1,15248
Hilpda,69573
Hip1,215114
Hist1h2bc,68024
Hivep3,16656
Hk2,15277
Hnf4a,15378
Hspa1a,193740
Hspa2,15512
Icam1,15894
Id1,15901
Ier5l,72500
Ifngr1,15979
Igf2bp2,319765
Igsf5,72058
Ihh,16147
Il10ra,16154
Il12rb2,16162
Il13ra1,16164
Il17rc,171095
Il1b,16176
Il2ra,16184
Il4ra,16190
Inpp5a,212111
Irf4,16364
Isg15,100038882
Isg20,57444
Isy1,57905
Itga1,109700
Itgb4,192897
Itgb6,16420
Itih5,209378
Itpripl2,319622
Jdp2,81703
Jmy,57748
Jup,16480
Kcnk1,16525
Kcnk5,16529
Kcnq1,16535
Kctd12,239217
Kdf1,69073
Kif21a,16564
Kitl,17311
Klf5,12224
Klk1,16612
Krt18,16668
Krt19,16669
Krt7,110310
Krt8,16691
Krt8-ps,434261
Krt83,100126226
Lad1,16763
Lag3,16768
Lamc1,226519
Laptm4b,114128
Lgals3,16854
Lgalsl,216551
Lgr4,107515
Lilrb4a,14728
Lima1,65970
Litaf,56722
Lmna,16905
Lmo7,380928
Lrat,79235
Lrp1,16971
Lrrk1,233328
Ltbr,17000
Lurap1l,52829
Lypd8,70163
Lztfl1,93730
Lzts3,241638
Magi1,14924
Mal2,105853
Mall,228576
Maoa,17161
Maob,109731
Mapk13,26415
Marveld3,73608
Mdfic,16543
Mertk,17289
Metrnl,210029
Mgam,232714
Mgst1,56615
Mgst3,66447
Mical2,320878
Misp,78906
Mki67,17345
Mkrn2os,70291
Mlph,171531
Mme,17380
Mmp14,17387
Mmp9,17395
Mpeg1,17476
Mt1,17748
Mt2,17750
Mtus1,102103
Muc13,17063
Muc2,17831
Muc3,666339
Mvb12b,72543
Mxd1,17119
Mxi1,17859
Myh14,71960
Mylk,107589
Myo1d,338367
Myo5b,17919
Myo5c,208943
Myo6,17920
Nabp1,109019
Naip1,17940
Naip5,17951
Naip6,17952
Nbl1,17965
Ndrg1,17988
Nectin2,19294
Nectin3,58998
Nedd4,17999
Neo1,18007
Neurl3,214854
Nfib,18028
Nfil3,18030
Ngef,53972
Nhsl1,215819
Nkg7,72310
Nol4l,329540
Nostrin,329416
Nr3c1,14815
Nr4a1,15370
Nr4a2,18227
