gs_name,gene_number
2013_IMMUNITY_Locci---GC-Tfh,374
2013_IMMUNITY_Locci---non-GC-Tfh,548
2014_IMMUNITY_Gaiha---HIV-EC_vs_HIV-CP_dn,77
2014_IMMUNITY_Gaiha---HIV-EC_vs_HIV-CP_up,61
2015_NAT_IMMUNOL_Choi---GC-Tfh,656
2015_NAT_IMMUNOL_Choi---Tfh,491
2015_PLOA_PATHOGENS_Gupta---CD39pos_vs_CD39neg_dn,210
2015_PLOA_PATHOGENS_Gupta---CD39pos_vs_CD39neg_up,409
2016_IMMUNITY_De_Simone---Th17_vs_Th1-or-Treg,102
2016_IMMUNITY_De_Simone---Th1_vs_Th17-or-Treg,179
2016_IMMUNITY_De_Simone---Treg_vs_Th1-or-Th17,570
2017_CELL_REP_Kumar---CD4Lung_CD69pos_vs_neg_dn,280
2017_CELL_REP_Kumar---CD4Lung_CD69pos_vs_neg_up,402
2017_CELL_REP_Kumar---CD4Spleen_CD69pos_vs_neg_dn,574
2017_CELL_REP_Kumar---CD4Spleen_CD69pos_vs_neg_up,286
2017_CELL_REP_Kumar---CD8Lung_CD69pos_vs_neg_dn,301
2017_CELL_REP_Kumar---CD8Lung_CD69pos_vs_neg_up,301
2017_CELL_REP_Kumar---CD8Spleen_CD69pos_vs_neg_dn,268
2017_CELL_REP_Kumar---CD8Spleen_CD69pos_vs_neg_up,120
2017_IMMUNITY_WOLSKI---chronic_early_vs_late_dn,14
2017_IMMUNITY_WOLSKI---chronic_early_vs_late_up,22
2017_IMMUNITY_WOLSKI---early_Resolver_vs_Chronic_dn,63
2017_IMMUNITY_WOLSKI---early_Resolver_vs_Chronic_up,14
2017_IMMUNITY_WOLSKI---late_Resolver_vs_Chronic_dn,92
2017_IMMUNITY_WOLSKI---late_Resolver_vs_Chronic_up,18
2017_IMMUNITY_WOLSKI---resolver_early_vs_late_dn,56
2017_IMMUNITY_WOLSKI---resolver_early_vs_late_up,77
2017_IMMUNITY_WOLSKI_curated_human---AM01,39
2017_IMMUNITY_WOLSKI_curated_human---AM02,164
2017_IMMUNITY_WOLSKI_curated_human---AM03,15
2017_IMMUNITY_WOLSKI_curated_human---AM04,5
2017_IMMUNITY_WOLSKI_curated_human---AM05,164
2017_IMMUNITY_WOLSKI_curated_human---AM06,46
2017_IMMUNITY_WOLSKI_curated_human---AM07,16
